label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL50+KMLM50,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.02270909,0.23306855,0.02231207,0.23307415,84096.46727822,44000.00000000,40096.46727822,0.91128335,0.18603404,0.18709583,0.92350580,0.20957889,1.28565226,0.89023853,-0.20897101,448,2023,0.37454047,2022,-0.04669946,790398.45567570,298.71349901,1.70899861,0.00678894,0.31076684,0.09980260,,,0.31062710,0.09942933,,,0.37748849,0.04020374
50/50,full,full,2020-12-18,2026-08-20,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.00087247,0.00318041,0.00064856,0.00175609,80765.78010012,44000.00000000,36765.78010012,0.83558591,0.15090234,0.17526084,0.65859103,0.26982961,0.93633757,0.33725424,-0.44744386,752,2023,0.69929069,2022,-0.42506651,219052.27847129,82.76805287,0.50705317,0.00188109,0.49963228,0.49856868,,,,,,,0.49947717,0.49824391
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.05223510,0.39663067,0.05205205,0.39663758,80827.16578954,44000.00000000,36827.16578954,0.83698104,0.16286137,0.17548306,0.79335887,0.22234073,1.13448339,0.52549212,-0.30992162,683,2023,0.46780948,2022,-0.25830154,190481.85113137,74.07256612,0.42285255,0.00168347,0.55116127,0.49856868,,,,,,,0.44801820,0.10336242
SPY benchmark,full,full,2020-12-18,2026-08-20,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.00776260,0.02938556,0.00776372,0.02941953,76891.87546579,44000.00000000,32891.87546579,0.74754262,0.14823304,0.16090592,0.92002546,0.16593051,1.33882256,0.60619433,-0.24453056,709,2021,0.28166993,2022,-0.18247338,43403.08520685,3.03821596,0.10477889,0.00006905,,,,,,,0.99223628,0.97058047,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,,0.00127264,0.00317724,0.00070991,0.00156580,54583.27257084,34000.00000000,20583.27257084,0.60539037,0.17348040,0.18578058,0.88922061,0.20416004,1.25341952,0.91005522,-0.19062623,169,2023,0.47539089,2022,-0.14196050,417205.98059929,156.34342253,1.77074804,0.00459834,0.45388872,0.14979190,,,0.15086860,0.04996647,,,0.39391707,0.13807806
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,0.47538661,0.14979190,,,0.15803366,0.04996647,,,0.36538681,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,VIX/VIX3M@1>=1.00,0.00224912,0.05000398,0.00171798,0.05001575,54478.80686948,34000.00000000,20478.80686948,0.60231785,0.17253400,0.18500188,0.88512161,0.20419901,1.24706309,0.90509055,-0.19062623,169,2023,0.47535943,2022,-0.14474099,417848.46239179,156.85418091,1.77668977,0.00461336,0.45468655,0.14979190,,,0.15109711,0.04996647,,,0.39292896,0.13850985
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,0.47538661,0.14979190,,,0.15803366,0.04996647,,,0.36538681,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.04150138,0.27327240,0.04110092,0.27327789,54286.67507078,34000.00000000,20286.67507078,0.59666691,0.18494307,0.18356643,0.90007192,0.21510919,1.26580010,0.97018688,-0.19062623,169,2023,0.32923408,2020,0.02308204,503005.17116054,190.13800840,2.01288746,0.00559229,0.49450538,0.14979190,,,0.16440824,0.04996647,,,0.33990438,0.00000000
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+KMLM25,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,0.47538661,0.14979190,,,0.15803366,0.04996647,,,0.36538681,0.04055417
