label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,params.rebalance,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,2w+1,0.01960199,0.35874343,0.01895189,0.35400295,68316.99336493,44000.00000000,24316.99336493,0.55265894,0.12703097,0.12653782,0.72896080,0.18968080,1.00399080,0.59706639,-0.21275854,,2023,0.43166642,2022,-0.17595098,1253434.65483459,414.48846105,2.87738839,0.00942019,0.46081555,0.14612506,0.15329641,0.04905318,,,,,0.38442161,0.08375807
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,,0.00115551,0.00359694,0.00066413,0.00173904,79511.54899064,44000.00000000,35511.54899064,0.80708066,0.16381400,0.17068535,0.84688652,0.20494004,1.18572558,0.81377033,-0.20130250,439,2023,0.46407973,2022,-0.15271034,797030.98481898,263.26685826,1.77438236,0.00598334,0.44993110,0.14872668,0.14965469,0.04898819,,,,,0.39921190,0.13842966
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,2m,0.07267319,0.51328723,0.07177968,0.50820073,82155.33077567,44000.00000000,38155.33077567,0.86716661,0.17829091,0.18025287,0.89623325,0.20828696,1.26319921,0.77723491,-0.22939128,474,2023,0.39592842,2022,-0.16140105,367031.71978314,123.87996404,0.79894252,0.00281545,0.44816614,0.14872668,0.14933270,0.04898819,,,,,0.40076606,0.12674159
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 2m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,2m+1,0.06346158,0.42747425,0.06276548,0.42604480,74490.01351839,44000.00000000,30490.01351839,0.69295485,0.14901781,0.15166003,0.76576621,0.21168875,1.07415791,0.72516438,-0.20549521,,2023,0.39438732,2022,-0.13364860,495087.88815471,162.61164715,1.09313792,0.00369572,0.44273197,0.12813537,0.14813703,0.04760801,,,,,0.40737151,0.13455798
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,3m,0.09542012,0.51783964,0.09402246,0.50983659,77387.39900959,44000.00000000,33387.39900959,0.75880452,0.16064806,0.16277953,0.72827074,0.24800183,1.01734748,0.62939709,-0.25524119,160,2023,0.44534624,2022,-0.18614928,305500.83579605,102.67681220,0.65762552,0.00233356,0.40661604,0.12824190,0.13665521,0.04779278,,,,,0.45453805,0.15631769
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,3m+1,0.08528678,0.34284406,0.08442771,0.34284556,75828.84515612,44000.00000000,31828.84515612,0.72338284,0.15021165,0.15684789,0.82548096,0.19303059,1.16892556,0.70792476,-0.21218589,683,2021,0.32093764,2022,-0.18476482,283447.98627344,94.64548153,0.66027112,0.00215103,0.46597338,0.12902134,0.15655094,0.04680108,,,,,0.37507387,0.09183463
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 rb 3m+2,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,3m+2,0.09145956,0.43285683,0.09070496,0.43131585,88206.69241165,44000.00000000,44206.69241165,1.00469755,0.19347205,0.20111162,0.97536739,0.20355411,1.39701478,0.78057827,-0.24785734,455,2023,0.42822579,2022,-0.14617410,337653.08998997,112.51061898,0.70148021,0.00255706,0.44973303,0.13837443,0.15048122,0.04965744,,,,,0.39771455,0.13457961
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 1w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200,1w,0.03123473,0.28468274,0.03079435,0.28468625,66954.93364977,44000.00000000,22954.93364977,0.52170304,0.12979545,0.12070508,0.76522797,0.18202606,1.06109042,0.65000139,-0.19968488,,2023,0.30133967,2022,-0.06840976,1647644.26071479,546.86947393,3.77377302,0.01242885,0.48262506,0.14919282,0.16045541,0.04861894,,,,,0.35570369,0.04126109
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200,2w,0.04208030,0.35502871,0.04162253,0.35503021,74500.77167026,44000.00000000,30500.77167026,0.69319936,0.14858576,0.15170206,0.84273163,0.18574713,1.19027591,0.86234908,-0.17230349,161,2024,0.31355370,2022,-0.07976115,1099832.90500477,363.70317231,2.47092408,0.00826598,0.47939798,0.14872668,0.15937941,0.04898819,,,,,0.35989722,0.04430175
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200 rb 2w+1,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200,2w+1,0.04360348,0.35874343,0.04313173,0.35400295,67256.83124879,44000.00000000,23256.83124879,0.52856435,0.12778810,0.12200758,0.74185838,0.18648382,1.01902525,0.60045738,-0.21281794,,2024,0.34046025,2022,-0.04944883,1204187.31442423,399.30848639,2.74368106,0.00907519,0.48076771,0.14627832,0.15996357,0.04910194,,,,,0.35795447,0.04131506
