label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL50+BTAL50,0.25000000,0.02724282,0.28595101,0.02669550,0.28595243,90587.76530688,44000.00000000,46587.76530688,1.05881285,0.19513728,0.20834409,0.84901334,0.24736866,1.18482342,0.76061797,-0.25655097,601,2023,0.48833305,2022,-0.19945622,855005.94741417,201.79451153,1.79793595,0.00458624,0.26824395,0.09526040,0.26945875,0.09956848,,,,,,,0.46006253,0.05564494
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.05223510,0.39663067,0.05205205,0.39663758,80323.47228407,44000.00000000,36323.47228407,0.82553346,0.16124469,0.17314329,0.78773703,0.22221672,1.12632921,0.52027570,-0.30992162,683,2023,0.46780948,2022,-0.25830154,190481.85113137,74.07256612,0.42142793,0.00168347,,,0.55116127,0.49856868,,,,,,,0.44801820,0.10336242
SPY benchmark,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00776260,0.02938556,0.00776372,0.02941953,76979.08018368,44000.00000000,32979.08018368,0.74952455,0.14815618,0.16076005,0.92053059,0.16582684,1.33958435,0.60588003,-0.24453056,709,2021,0.28166993,2022,-0.18247338,43403.08520685,3.03821596,0.10441417,0.00006905,,,,,,,,,0.99223628,0.97058047,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,0.20000000,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,,,0.47538661,0.14979190,,,0.15803366,0.04996647,,,0.36538681,0.04055417
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,0.25000000,0.03623524,0.28897993,0.03581324,0.28898598,58418.36227730,34000.00000000,24418.36227730,0.71818713,0.20228095,0.21353830,0.87407237,0.24657657,1.22372703,0.98955429,-0.20441623,557,2023,0.43556307,2022,-0.12777427,461560.15049506,173.85618206,1.88399537,0.00511342,,,0.41475905,0.14897128,,,0.13785065,0.04882742,,,0.44608072,0.05261139
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.02966490,0.23271690,0.02919009,0.23272072,54173.70335162,34000.00000000,20173.70335162,0.59334422,0.17174632,0.18272041,0.87226792,0.20713597,1.22446448,0.90069288,-0.19068245,167,2023,0.34071490,2022,-0.07342515,398073.45986378,132.13265634,1.69737536,0.00388625,,,0.47527594,0.14872668,0.15805029,0.04898819,,,,,0.36532271,0.04055717
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.03628736,0.28894590,0.03580134,0.28895001,58392.40554371,34000.00000000,24392.40554371,0.71742369,0.20050372,0.21335563,0.86294139,0.24862621,1.20950598,0.92439588,-0.21690243,570,2023,0.42579185,2022,-0.13791244,459963.19454698,152.16971941,1.88965269,0.00447558,,,0.41476956,0.14933277,0.13780368,0.04866455,,,,,0.44606271,0.05264735
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,0.20000000,0.03026359,0.23306855,0.02978006,0.23307415,55198.38829729,34000.00000000,21198.38829729,0.62348201,0.18941448,0.19034051,0.93020451,0.21135449,1.29913187,1.14933002,-0.16480425,,2023,0.37454047,2022,-0.04669946,412218.49716053,156.25714349,1.68919274,0.00459580,,,0.31710843,0.09988652,,,0.31691690,0.09942933,,,0.36467502,0.04020374
VT TQQQ/BTAL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,0.25000000,0.03698685,0.28921128,0.03646175,0.28921699,59606.59743556,34000.00000000,25606.59743556,0.75313522,0.21798569,0.22182916,0.91083719,0.25260213,1.27248344,1.04925594,-0.20775264,,2023,0.46073132,2022,-0.11498342,475538.72753370,179.24110081,1.88017472,0.00527180,,,0.27662612,0.09904697,,,0.27653522,0.09903835,,,0.44544761,0.05238038
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+KMLM25,0.20000000,0.03064971,0.23127420,0.02975904,0.23127730,54422.84126855,34000.00000000,20422.84126855,0.60067180,0.17668245,0.18458419,0.89494125,0.20645548,1.25239849,1.03773594,-0.17025762,553,2023,0.40784013,2022,-0.11117512,402037.56179647,109.32152148,1.70524914,0.00321534,0.23622204,0.07341834,0.23741425,0.07474232,,,0.15795007,0.04986398,,,0.36554971,0.04200059
