label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.03143316,0.41239292,0.03132612,0.41269263,64809.62973353,37500.00000000,27309.62973353,0.72825679,0.20896758,0.19005794,0.99034382,0.21518387,1.38939979,0.80313390,-0.26019021,366,2019,0.40904897,2022,-0.08403052,376969.28896381,144.75006213,1.21172946,0.00386000,0.65879854,0.19963859,,,,,0.34060136,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.03591952,0.27327477,0.03585182,0.27327789,69210.90877010,37500.00000000,31710.90877010,0.84562423,0.23223802,0.21362631,1.04582814,0.22383914,1.47187895,0.68727201,-0.33791281,940,2019,0.40904897,2022,0.03695073,442472.61184293,169.33990070,1.36977416,0.00451573,0.69200452,0.19963859,,,,,0.30747555,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.02527932,0.22727120,0.02516884,0.22727479,62207.13131387,37500.00000000,24707.13131387,0.65885684,0.18068816,0.17544894,0.87814970,0.21587017,1.22686991,0.69449020,-0.26017381,366,2023,0.33040273,2022,-0.08346372,351390.49332336,133.57830859,1.19292696,0.00356209,0.65252724,0.19907534,,,,,0.34684047,0.04600311
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.03491849,0.24328204,0.03483298,0.24328942,59682.62385001,37500.00000000,22182.62385001,0.59153664,0.15960585,0.16075114,0.79576101,0.21544955,1.10679265,0.61392341,-0.25997681,366,2023,0.33027476,2022,-0.08302047,321547.02288612,122.67596103,1.14550030,0.00327136,0.66229181,0.19939639,,,,,0.33710352,0.04567772
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,,0.00099376,0.00314094,0.00054623,0.00184310,66780.15143740,37500.00000000,29280.15143740,0.78080404,0.20678494,0.20077874,0.98547385,0.21419707,1.37880690,1.02889260,-0.20097816,324,2023,0.46459967,2022,-0.15313977,409192.96895090,134.50760241,1.31934016,0.00358687,0.47076456,0.14955055,0.15666286,0.04900583,,,0.37153969,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200,0.02487979,0.22732631,0.02451730,0.22732793,66248.64827218,37500.00000000,28748.64827218,0.76663062,0.20584351,0.19791480,0.98345522,0.21374816,1.37183905,1.02343031,-0.20113095,324,2023,0.34360488,2022,-0.07938807,373691.43624708,123.99541088,1.19625317,0.00330654,0.48884935,0.14955055,0.16263318,0.04900583,,,0.34750563,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate VIX/VIX3M@1>=1.00,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,VIX/VIX3M@1>=1.00,0.00915306,0.41243689,0.00875038,0.41269263,68992.79280148,37500.00000000,31492.79280148,0.83980781,0.23109326,0.21248981,1.08375918,0.21294128,1.52099426,1.14915053,-0.20109921,324,2023,0.46450572,2022,-0.15566329,437540.22919451,145.84485105,1.34819016,0.00388920,0.47700699,0.14943157,0.15870889,0.04968393,,,0.36328979,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@1>=1.00,0.03214399,0.41243689,0.03181499,0.41269263,68672.61250631,37500.00000000,31172.61250631,0.83126967,0.23125900,0.21081578,1.08606050,0.21253804,1.52016153,1.14997472,-0.20109921,324,2019,0.40960053,2022,-0.07921988,399379.48937914,133.94410995,1.21934626,0.00357184,0.49438258,0.14943157,0.16451549,0.04968393,,,0.34018761,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@1>=1.00 off0,0.03619732,0.27327652,0.03592903,0.27327789,73713.23279200,37500.00000000,36213.23279200,0.96568621,0.25698762,0.23641125,1.17713085,0.21392413,1.65896643,0.93153322,-0.27587596,428,2019,0.40960053,2022,0.03990918,467842.39664412,156.48452275,1.36910078,0.00417292,0.51892927,0.14972584,0.17269540,0.04951696,,,0.30752944,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@10>=1.00<0.95,0.02597048,0.22740519,0.02560841,0.22740676,65860.31646086,37500.00000000,28360.31646086,0.75627511,0.20304927,0.19580950,0.97284670,0.21367676,1.35628193,1.00932224,-0.20117388,324,2023,0.34355840,2022,-0.07911135,373044.53692374,124.08342616,1.20208429,0.00330889,0.48965425,0.14955055,0.16295318,0.04900583,,,0.34641510,0.04587114
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL75+DBMF25,QQQ<SMA200|VIX/VIX3M@10>=0.95<0.90,0.03541050,0.24160047,0.03510876,0.24160532,63162.24876716,37500.00000000,25662.24876716,0.68432663,0.18218148,0.18087214,0.89934269,0.21104555,1.24989123,0.90633961,-0.20100796,324,2023,0.34344023,2022,-0.07919851,342606.65875577,114.15958311,1.15790018,0.00304426,0.49683009,0.14932423,0.16536262,0.04968447,,,0.33683603,0.04567731
50/50,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.00058938,0.00155282,0.00043633,0.00133151,66124.01158705,37500.00000000,28624.01158705,0.76330698,0.21441229,0.19724029,0.74944349,0.33435881,1.05131843,0.47876592,-0.44784367,,2023,0.69983645,2022,-0.42546175,191901.90035333,72.82995208,0.58455254,0.00194213,0.49966650,0.49866849,,,,,0.49972313,0.49922644
TQQQ50/BTAL50 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.05850655,0.37517449,0.05838111,0.37517809,68406.38172327,37500.00000000,30906.38172327,0.82417018,0.22176896,0.20941858,0.83759832,0.28975550,1.16946953,0.58800358,-0.37715580,138,2023,0.48054807,2022,-0.27720877,152230.27494983,59.51207376,0.46190224,0.00158699,0.55766452,0.49887832,,,,,0.44174916,0.12482191
SPY benchmark,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,,,0.00676955,0.02233304,0.00677086,0.02233388,54024.61404681,37500.00000000,16524.61404681,0.44065637,0.12947835,0.12568830,0.67683690,0.21391828,0.94253127,0.38457602,-0.33667817,173,2021,0.28241522,2022,-0.18161772,37259.17984794,2.60814259,0.13190475,0.00006955,,,,,0.99322914,0.97766612,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,test,test,2024-01-02,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,,0.00139171,0.00257830,0.00114065,0.00211580,31766.17676286,25500.00000000,6266.17676286,0.24573242,0.14045289,0.12468423,0.74861227,0.20451552,1.01317044,0.79911930,-0.17575961,,2024,0.21239234,2026,0.00985887,215149.01060870,81.10085552,1.95705453,0.00318043,0.56757342,0.19958207,,,,,0.43097050,0.21299787
