label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off30,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0 off30,0.00085173,0.02627435,0.00082590,0.02628859,88969.64132991,39500.00000000,49469.64132991,1.25239598,0.25108884,0.26669326,0.99609266,0.25892431,1.34297767,0.92442714,-0.27161561,140,2017,0.58810165,2016,-0.01927784,461170.66580993,174.93709573,1.12474681,0.00442879,0.49174122,0.39884611,,,0.50778482,0.14912567
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOMM1-3-6-12U<=0 off0,0.00051427,0.00190732,0.00048970,0.00206223,67829.71534383,39500.00000000,28329.71534383,0.71720798,0.15362083,0.17546633,0.67979920,0.26067673,0.91306774,0.56562564,-0.27159453,183,2017,0.58801496,2016,-0.17306481,550512.22437938,208.38214944,1.60937218,0.00527550,0.52301708,0.39872637,,,0.47641003,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOM12M<=0,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOM12M<=0,0.00664354,0.23249927,0.00661377,0.23251353,95474.71305434,39500.00000000,55974.71305434,1.41708134,0.27760373,0.29086927,1.06828307,0.26176400,1.44691394,1.02210225,-0.27160074,140,2017,0.58802785,2016,0.02878377,432766.47347192,164.54784849,1.00245288,0.00416577,0.48284721,0.39843575,,,0.51671530,0.14916857
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ:MOM12M<=0 off0,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ:MOM12M<=0 off0,0.00045845,0.00192389,0.00042650,0.00184129,82576.09905917,39500.00000000,43076.09905917,1.09053415,0.21524334,0.24135364,0.87837591,0.26116502,1.18588186,0.79239416,-0.27163670,140,2017,0.58805189,2016,-0.10580288,463039.96923405,175.85212924,1.21617403,0.00445195,0.50670068,0.39860571,,,0.49279538,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.01205295,0.23249927,0.01201733,0.23251353,95411.20361070,39500.00000000,55911.20361070,1.41547351,0.27774182,0.29064037,1.07752277,0.25893464,1.45940350,1.02263427,-0.27159448,140,2017,0.58802785,2016,0.02878377,422598.66206676,160.97909479,0.97728635,0.00407542,0.48825054,0.39843575,,,0.51130218,0.14909779
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off30,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off30,0.00698155,0.17701024,0.00695376,0.17701381,89288.65145850,39500.00000000,49788.65145850,1.26047219,0.25235134,0.26791477,1.00710658,0.25646282,1.35849624,0.92921624,-0.27157439,140,2017,0.58810165,2016,-0.01927784,457765.00698522,174.08606701,1.11270742,0.00440724,0.49789099,0.39884611,,,0.50164163,0.14911188
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00945667,0.41246915,0.00943507,0.41247327,67912.55181291,39500.00000000,28412.55181291,0.71930511,0.15423829,0.17587112,0.68519973,0.25862110,0.92099297,0.56788822,-0.27159974,183,2017,0.58801496,2016,-0.17306481,538523.98058671,204.33859329,1.57074428,0.00517313,0.53201354,0.39872637,,,0.46743673,0.00000000
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.01108753,0.23249927,0.01105076,0.23251353,96580.54813586,39500.00000000,57080.54813586,1.44507717,0.28128612,0.29483357,1.08648024,0.25948128,1.47274652,1.03560122,-0.27161626,140,2017,0.58802785,2016,0.02878377,430227.74430796,163.82406163,0.98811553,0.00414744,0.48728895,0.39843575,,,0.51226556,0.14913665
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=2,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=2,0.01789312,0.35020146,0.01785728,0.35020483,93159.34864428,39500.00000000,53659.34864428,1.35846452,0.27059333,0.28243598,1.06069616,0.25736793,1.43437687,0.99629689,-0.27159909,140,2017,0.58802785,2016,0.02878377,415284.95917829,158.21833077,0.97478775,0.00400553,0.49409571,0.39843575,,,0.50545313,0.14912452
50/50,sens,sens_2016-01-04,2016-01-04,2020-12-31,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00045044,0.00196397,0.00040679,0.00181648,112260.13265474,39500.00000000,72760.13265474,1.84202867,0.32267452,0.34713378,1.11205393,0.28954123,1.54851308,0.85510580,-0.37735040,133,2019,0.60997725,2018,0.01292547,233157.03317950,89.51672141,0.53232804,0.00226625,0.49959929,0.49818352,,,0.49993301,0.49982400
