label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL,0.20000000,0.02202268,0.22837322,0.02169275,0.22837374,88854.16108773,44000.00000000,44854.16108773,1.01941275,0.18593465,0.20266857,0.87397525,0.22541927,1.22067107,0.76445188,-0.24322610,605,2023,0.48594362,2022,-0.20462579,789666.51701657,78.62518137,1.72632537,0.00178694,0.61910193,0.19342022,,,,,,,,,0.37888844,0.04510429
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL,0.25000000,0.02651708,0.28357615,0.02622696,0.28357676,98619.11624093,44000.00000000,54619.11624093,1.24134355,0.21547485,0.23339024,0.86238478,0.27004525,1.20550833,0.71765513,-0.30024846,606,2023,0.57394265,2022,-0.25479022,883609.42706238,88.13652349,1.80798219,0.00200310,0.53758518,0.19864949,,,,,,,,,0.46051445,0.05827078
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+BTAL50,0.20000000,0.02255969,0.23098068,0.02207333,0.23098214,81312.38033553,44000.00000000,37312.38033553,0.84800864,0.16570001,0.17671228,0.86420640,0.20215850,1.20619561,0.88654165,-0.18690606,571,2023,0.40860168,2022,-0.13949896,769782.16869719,181.68203585,1.71852150,0.00412914,0.30922722,0.09338329,0.31033627,0.09865034,,,,,,,0.37838515,0.04249590
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL50+BTAL50,0.25000000,0.02696821,0.28630114,0.02655904,0.28630261,91579.44961810,44000.00000000,47579.44961810,1.08135113,0.19799443,0.21154552,0.85857244,0.24743086,1.19851436,0.77668387,-0.25492280,601,2023,0.49451328,2022,-0.19799902,860356.45585289,203.06217704,1.79734090,0.00461505,0.26845325,0.09587426,0.26946868,0.09954973,,,,,,,0.46017605,0.05554493
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,,0.05222120,0.39664415,0.05201505,0.39665119,81202.49055854,44000.00000000,37202.49055854,0.84551115,0.16396817,0.17631770,0.79851419,0.22215021,1.14206512,0.53042805,-0.30912424,683,2023,0.47587298,2022,-0.25745401,191622.81717252,74.52937357,0.42124597,0.00169385,,,0.55114318,0.49900540,,,,,,,0.44802361,0.10334881
SPY benchmark,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,,,0.00866655,0.02352117,0.00866767,0.02352217,77537.78878354,44000.00000000,33537.78878354,0.76222247,0.15056361,0.16286352,0.93456546,0.16553966,1.36111435,0.62516283,-0.24083903,708,2021,0.28447035,2022,-0.17847156,43614.51304201,3.05301591,0.10432793,0.00006939,,,,,,,,,0.99133233,0.97647783,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+KMLM25,0.20000000,0.02954608,0.23311952,0.02914764,0.23312522,54767.72452510,34000.00000000,20767.72452510,0.61081543,0.17761791,0.18715245,0.90324442,0.20513142,1.26733193,0.93175712,-0.19062684,169,2023,0.35438283,2022,-0.05647746,401260.85230031,151.93969198,1.68972740,0.00446881,,,0.47537349,0.14998239,,,0.15807880,0.04999126,,,0.36535288,0.04035281
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+KMLM25,0.25000000,0.03629332,0.28957714,0.03590538,0.28958316,58951.26924806,34000.00000000,24951.26924806,0.73386086,0.20568968,0.21727388,0.88541557,0.24665184,1.23986663,1.01373915,-0.20290197,,2023,0.43871553,2022,-0.12288662,463792.54707814,174.67314796,1.88359693,0.00513745,,,0.41482589,0.14914544,,,0.13782232,0.04944340,,,0.44607851,0.05226438
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+DBMF25,0.20000000,0.02962086,0.23308802,0.02919311,0.23309229,54737.30530210,34000.00000000,20737.30530210,0.60992074,0.17562010,0.18692647,0.88857238,0.20704559,1.24797406,0.92219901,-0.19043623,167,2023,0.34403125,2022,-0.07018805,399941.19585492,132.71743931,1.69640644,0.00390345,,,0.47542500,0.14892907,0.15804154,0.04831064,,,,,0.36528778,0.04038574
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL75+DBMF25,0.25000000,0.03604487,0.28909838,0.03564481,0.28910260,58919.52370330,34000.00000000,24919.52370330,0.73292717,0.20379732,0.21705214,0.87367777,0.24876063,1.22480254,0.95743050,-0.21285861,570,2023,0.43009524,2022,-0.13549089,462166.75812617,152.90510436,1.89033431,0.00449721,,,0.41458000,0.14949941,0.13786094,0.04880425,,,,,0.44639768,0.05274494
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL50+KMLM50,0.20000000,0.03009130,0.23336116,0.02966646,0.23336695,55920.93112514,34000.00000000,21920.93112514,0.64473327,0.19450752,0.19564269,0.95032076,0.21141022,1.32781527,1.17569433,-0.16544056,,2023,0.37724523,2022,-0.03808408,415804.07418860,157.56551251,1.68987117,0.00463428,,,0.31705390,0.09948609,,,0.31680497,0.09948039,,,0.36489062,0.04011108
VT TQQQ/BTAL50+KMLM50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BTAL50+KMLM50,0.25000000,0.03673644,0.28977358,0.03640196,0.28977914,60359.05172137,34000.00000000,26359.05172137,0.77526623,0.22305697,0.22700835,0.92721211,0.25266011,1.29567976,1.07026668,-0.20841252,,2023,0.46333725,2022,-0.10648958,479663.70837440,180.81996283,1.88068653,0.00531823,,,0.27668698,0.09908815,,,0.27651610,0.09908246,,,0.44560567,0.05206840
VT TQQQ/BIL37.5+BTAL37.5+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24,BIL37.5+BTAL37.5+KMLM25,0.20000000,0.03056183,0.23169431,0.02972461,0.23169685,55046.66446397,34000.00000000,21046.66446397,0.61901954,0.18088969,0.18921974,0.91233278,0.20644841,1.27732521,1.07836447,-0.16774448,,2023,0.41246825,2022,-0.10606890,405129.57513127,110.06940531,1.70767647,0.00323734,0.23618306,0.07152308,0.23740714,0.07483756,,,0.15805449,0.04988885,,,0.36553868,0.04178118
