label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL50+KMLM50,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00812283,0.26745377,0.00767659,0.26746294,79303.24961064,44000.00000000,35303.24961064,0.80234658,0.17573762,0.16941785,0.86963434,0.21355424,1.20663362,0.82485276,-0.21305332,474,2021,0.29551315,2020,0.02851468,824699.91606720,311.79828109,1.80156961,0.00708632,0.32490019,0.09977713,,,0.32475731,0.09942933,,,0.34917341,0.00000000
50/50,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00087247,0.00318041,0.00064856,0.00175609,80263.32736853,44000.00000000,36263.32736853,0.82416653,0.14932735,0.17292490,0.65399209,0.26966645,0.92973660,0.33373428,-0.44744386,752,2023,0.69929069,2022,-0.42506651,219052.27847129,82.76805287,0.50528457,0.00188109,0.49963228,0.49856868,,,,,,,0.49947717,0.49824391
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.05223510,0.39663067,0.05205205,0.39663758,80323.47228407,44000.00000000,36323.47228407,0.82553346,0.16124469,0.17314329,0.78773703,0.22221672,1.12632921,0.52027570,-0.30992162,683,2023,0.46780948,2022,-0.25830154,190481.85113137,74.07256612,0.42142793,0.00168347,0.55116127,0.49856868,,,,,,,0.44801820,0.10336242
SPY benchmark,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00776260,0.02938556,0.00776372,0.02941953,76979.08018368,44000.00000000,32979.08018368,0.74952455,0.14815618,0.16076005,0.92053059,0.16582684,1.33958435,0.60588003,-0.24453056,709,2021,0.28166993,2022,-0.18247338,43403.08520685,3.03821596,0.10441417,0.00006905,,,,,,,0.99223628,0.97058047,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,,0.00127264,0.00317724,0.00070991,0.00156580,54583.27257084,34000.00000000,20583.27257084,0.60539037,0.17348040,0.18578058,0.88922061,0.20416004,1.25341952,0.91005522,-0.19062623,169,2023,0.47539089,2022,-0.14196050,417205.98059929,156.34342253,1.77074804,0.00459834,0.45388872,0.14979190,,,0.15086860,0.04996647,,,0.39391707,0.13807806
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,0.47538661,0.14979190,,,0.15803366,0.04996647,,,0.36538681,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ:MOMM1-3-6-12U<=0,0.03265593,0.28483353,0.03223124,0.28483968,49824.44933584,34000.00000000,15824.44933584,0.46542498,0.13839769,0.14896217,0.74338225,0.20285078,1.03454233,0.72601599,-0.19062623,169,2023,0.27618920,2022,-0.12256303,370610.81910224,140.44450031,1.68096662,0.00413072,0.47767482,0.14979190,,,0.15880703,0.04996647,,,0.36231065,0.05616714
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ:MOMM1-3-6-12U<=0 off0,0.00126934,0.00317724,0.00073323,0.00156580,50474.79768672,34000.00000000,16474.79768672,0.48455287,0.14525722,0.15416430,0.74065569,0.21525357,1.03268003,0.76200018,-0.19062623,169,2021,0.25871875,2022,-0.06566112,397956.44817187,150.64798970,1.77786029,0.00443082,0.49513436,0.14979190,,,0.16459734,0.04996647,,,0.33894409,0.00000000
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.04012565,0.30429839,0.03976418,0.30430446,51494.15449179,34000.00000000,17494.15449179,0.51453396,0.15445012,0.16220537,0.80950749,0.20392700,1.12894010,0.81022492,-0.19062623,169,2023,0.26288428,2022,-0.06171072,378265.41354093,143.55666162,1.66031283,0.00422225,0.48334630,0.14979190,,,0.16069767,0.04996647,,,0.35478191,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.03152423,0.23271777,0.03113754,0.23272372,53259.74065314,34000.00000000,19259.74065314,0.56646296,0.16717298,0.17582087,0.86270297,0.20417169,1.20657644,0.87696733,-0.19062623,169,2023,0.32011766,2022,-0.06171072,386263.29314413,146.34981245,1.65576603,0.00430441,0.47686374,0.14979190,,,0.15850781,0.04996647,,,0.36341410,0.04055417
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+KMLM25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00650240,0.26745240,0.00607428,0.26746294,54288.90446371,34000.00000000,20288.90446371,0.59673248,0.17995747,0.18358311,0.87980640,0.21529945,1.23321641,0.94403309,-0.19062623,169,2021,0.25871875,2020,0.02308204,405942.72440590,153.96579868,1.68914619,0.00452841,0.49927368,0.14979190,,,0.16606716,0.04996647,,,0.33354702,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,,0.00136534,0.00359694,0.00075787,0.00173904,54529.70067203,34000.00000000,20529.70067203,0.60381473,0.17126462,0.18538140,0.86985247,0.20726143,1.22559301,0.89816670,-0.19068245,167,2023,0.46407973,2022,-0.15271034,416479.32003423,137.08495341,1.78036071,0.00403191,0.45388693,0.14872668,0.15090392,0.04898819,,,,,0.39379713,0.13842966
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200,0.02966490,0.23271690,0.02919009,0.23272072,54173.70335162,34000.00000000,20173.70335162,0.59334422,0.17174632,0.18272041,0.87226792,0.20713597,1.22446448,0.90069288,-0.19068245,167,2023,0.34071490,2022,-0.07342515,398073.45986378,132.13265634,1.69737536,0.00388625,0.47527594,0.14872668,0.15805029,0.04898819,,,,,0.36532271,0.04055717
