label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.RPAR.avg,exposure.RPAR.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
NTSX50/RPAR50,test,test,2025-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":0.5,""RPAR"":0.5}",0.00236540,0.00377757,0.00163263,0.00299887,23403.40204629,19500.00000000,3903.40204629,0.20017446,0.15961521,0.15598676,1.22096299,0.12909933,1.77250039,1.35758969,-0.11757250,116,2025,0.17735005,2026,0.08284784,19532.55180728,11.71953108,0.35937917,0.00060100,,,,,,,,,0.49840589,0.49700113,0.49920475,0.49821519,,,,
NTSX75/BIL25,test,test,2025-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00506393,0.01019165,0.00373766,0.00698439,22962.51984346,19500.00000000,3462.51984346,0.17756512,0.13732905,0.13887994,1.09146024,0.12614380,1.56560078,1.09060844,-0.12591967,125,2025,0.14526873,2026,0.07831172,19595.51097494,8.70033494,0.36891539,0.00044617,0.24672341,0.24301561,,,,,,,0.74819453,0.74648309,,,,,,
NTSX50/BIL50,test,test,2025-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00486073,0.01104526,0.00354904,0.00735122,22061.82000617,19500.00000000,2561.82000617,0.13137538,0.10275015,0.10354781,1.22269797,0.08349138,1.75742999,1.22825905,-0.08365511,111,2025,0.10805718,2026,0.05949558,19808.69306513,6.11827808,0.38148057,0.00031376,0.49669822,0.49264878,,,,,,,0.49842828,0.49605635,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2025-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00790325,0.07190527,0.00665778,0.07191910,23119.47620128,19500.00000000,3619.47620128,0.18561416,0.13687152,0.14498392,0.77671759,0.18982464,1.06645442,0.84701986,-0.16159187,215,2025,0.16657393,2026,0.05792014,98281.95150997,37.97721597,1.86421397,0.00194755,,,0.44195869,0.14904769,,,0.14637035,0.04842351,,,,,,,0.40844606,0.19026999
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2025-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00772903,0.07176103,0.00664572,0.07177044,23236.34038584,19500.00000000,3736.34038584,0.19160720,0.14406598,0.14951874,0.79789651,0.19370191,1.09625660,0.88253297,-0.16324147,215,2025,0.18771681,2026,0.04989352,98799.17890052,33.60276736,1.85591509,0.00172322,,,0.44201290,0.14913536,0.14673013,0.04848469,,,,,,,,,0.40829703,0.18908870
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2025-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00718796,0.07184905,0.00628821,0.07186361,24249.22963628,19500.00000000,4749.22963628,0.24355024,0.17342157,0.18847475,0.88946193,0.20502483,1.22852746,1.16742198,-0.14855088,191,2025,0.17872522,2026,0.10278333,100361.93841575,38.77281866,1.86635244,0.00198835,,,0.29440098,0.09887666,,,0.29418629,0.09920749,,,,,,,0.40884456,0.19037701
SPY benchmark,test,test,2025-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.02070958,0.04757251,0.02071231,0.04757251,24320.87863722,19500.00000000,4820.87863722,0.24722455,0.18230559,0.19120726,1.08527830,0.16854631,1.63331990,0.99826430,-0.18262257,127,2025,0.17232006,2026,0.12260919,18861.35152568,1.32029461,0.34736372,0.00006771,,,,,,,,,,,,,0.97928769,0.95242749,,
NTSX100,sens,sens_2020-12-18,2020-12-18,2023-12-18,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00104322,0.00282380,0.00105937,0.00283634,30512.34388747,28000.00000000,2512.34388747,0.08972657,0.03666416,0.04254481,0.29228274,0.17746909,0.41212944,0.11670689,-0.31415595,,2023,0.22123493,2022,-0.25973270,27984.70217074,16.79082130,0.24310067,0.00059967,,,,,,,,,0.99894063,0.99716366,,,,,,
RPAR100,sens,sens_2020-12-18,2020-12-18,2023-12-18,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""RPAR"":1.0}",0.00069143,0.00156296,0.00070818,0.00180581,25711.56926928,28000.00000000,-2288.43073072,-0.08172967,-0.04574314,-0.04131659,-0.28976046,0.13206434,-0.40595338,-0.14917801,-0.30663460,,2021,0.07190375,2022,-0.23267865,27968.84100068,16.78130460,0.26530261,0.00059933,,,,,,,,,,,0.99929182,0.99819419,,,,
NTSX50/RPAR50,sens,sens_2020-12-18,2020-12-18,2023-12-18,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":0.5,""RPAR"":0.5}",0.00167578,0.00341351,0.00124562,0.00279180,28030.31201607,28000.00000000,30.31201607,0.00108257,-0.00466221,0.00052998,0.03786180,0.14192972,0.05294281,-0.01536696,-0.30339172,,2021,0.14405743,2022,-0.24527031,27957.09436458,16.77425662,0.25367122,0.00059908,,,,,,,,,0.49882848,0.49720820,0.49947931,0.49876557,,,,
NTSX75/BIL25,sens,sens_2020-12-18,2020-12-18,2023-12-18,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00348068,0.00813600,0.00244938,0.00562690,30389.67950296,28000.00000000,2389.67950296,0.08534570,0.03501382,0.04052941,0.32662295,0.13262978,0.46122104,0.14481513,-0.24178289,,2023,0.17620464,2022,-0.19494487,30642.35316233,13.21800422,0.26505710,0.00047207,0.24761595,0.24437310,,,,,,,0.74889075,0.74735028,,,,,,
NTSX50/BIL50,sens,sens_2020-12-18,2020-12-18,2023-12-18,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00366810,0.00723230,0.00269919,0.00608930,30133.81663074,28000.00000000,2133.81663074,0.07620774,0.03106669,0.03630597,0.39237318,0.08811859,0.55562606,0.18901703,-0.16435924,,2023,0.13081588,2022,-0.12782514,31536.69009250,10.21492103,0.27213041,0.00036482,0.49738999,0.49391070,,,,,,,0.49893253,0.49722731,,,,,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2020-12-18,2020-12-18,2023-12-18,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03887413,0.23271777,0.03848146,0.23272372,40634.86447671,28000.00000000,12634.86447671,0.45124516,0.17494013,0.19148246,0.95318787,0.18836418,1.37223931,0.91771277,-0.19062623,169,2023,0.34192278,2022,-0.06171072,157732.50255020,60.58336208,1.17857669,0.00216369,,,0.50392249,0.14979190,,,0.16747943,0.04996647,,,,,,,0.32728465,0.04055417
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2020-12-18,2020-12-18,2023-12-18,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03907943,0.23271690,0.03852217,0.23272072,40117.34744028,28000.00000000,12117.34744028,0.43276241,0.16747072,0.18457270,0.91557374,0.18929838,1.32271855,0.87827026,-0.19068245,167,2023,0.33195622,2022,-0.07342515,156590.86117114,52.45232719,1.18282804,0.00187330,,,0.50378821,0.14872668,0.16747807,0.04898819,,,,,,,,,0.32717340,0.04055717
VT TQQQ/BTAL50+KMLM50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2020-12-18,2020-12-18,2023-12-18,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.03987453,0.23306855,0.03931524,0.23307415,42051.37206960,28000.00000000,14051.37206960,0.50183472,0.20115592,0.21007347,1.04518951,0.19402619,1.49292955,1.24776413,-0.16121310,157,2023,0.36380585,2022,-0.04669946,163976.20831074,63.16464106,1.17748412,0.00225588,,,0.33621823,0.09988652,,,0.33599355,0.09942933,,,,,,,0.32629680,0.04020374
SPY benchmark,sens,sens_2020-12-18,2020-12-18,2023-12-18,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01027565,0.02938556,0.01027746,0.02941953,34058.01624189,28000.00000000,6058.01624189,0.21635772,0.09830423,0.09836609,0.62673654,0.17438163,0.89726488,0.40201204,-0.24453056,709,2021,0.28166993,2022,-0.18247338,28012.03605312,1.96084252,0.22351374,0.00007003,,,,,,,,,,,,,0.98972254,0.97058047,,
