label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2020-05-08,2020-05-08,2023-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.03822979,0.23037513,0.03778866,0.23037808,34766.76229051,28000.00000000,6766.76229051,0.24167008,0.12523671,0.10999660,0.65630526,0.21578426,0.91025275,0.62407788,-0.20067481,324,2021,0.26471084,2022,-0.07622002,150898.52348657,51.70212714,1.13118262,0.00184650,0.52532994,0.14937551,0.17473973,0.04984507,,,0.29856647,0.04289981
SPY benchmark,sens,sens_2020-05-08,2020-05-08,2023-05-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00871399,0.02215160,0.00871571,0.02215237,33985.19433299,28000.00000000,5985.19433299,0.21375694,0.13605138,0.09815437,0.77474473,0.18779548,1.09504109,0.55855402,-0.24357784,,2020,0.28817156,2022,-0.18075659,27910.77267275,1.95375409,0.19774273,0.00006978,,,,,0.99128429,0.97784763,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2020-11-09,2020-11-09,2023-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00153888,0.00398983,0.00083337,0.00186447,36746.20437648,28000.00000000,8746.20437648,0.31236444,0.13643218,0.13904447,0.77024830,0.18959747,1.10545883,0.71615656,-0.19050608,167,2023,0.29364945,2022,-0.15281205,161489.42449252,54.20036860,1.23071100,0.00193573,0.48917836,0.14876676,0.16259779,0.04846232,,,0.34664435,0.13831898
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2020-11-09,2020-11-09,2023-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.03892807,0.23213258,0.03831781,0.23213625,36451.19661008,28000.00000000,8451.19661008,0.30182845,0.13668389,0.13477894,0.77234106,0.18930692,1.10160316,0.71747782,-0.19050608,167,2021,0.26536130,2022,-0.07425334,144082.56360207,49.53286981,1.08632474,0.00176903,0.51743753,0.14876676,0.17196987,0.04846232,,,0.30902142,0.04114164
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2020-11-09,2020-11-09,2023-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.03892807,0.23213258,0.03831781,0.23213625,36451.19661008,28000.00000000,8451.19661008,0.30182845,0.13668389,0.13477894,0.77234106,0.18930692,1.10160316,0.71747782,-0.19050608,167,2021,0.26536130,2022,-0.07425334,144082.56360207,49.53286981,1.08632474,0.00176903,0.51743753,0.14876676,0.17196987,0.04846232,,,0.30902142,0.04114164
SPY benchmark,sens,sens_2020-11-09,2020-11-09,2023-11-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00937307,0.02370740,0.00937486,0.02370838,32082.05496851,28000.00000000,4082.05496851,0.14578768,0.08435315,0.06840109,0.55155897,0.17464157,0.78765688,0.34453374,-0.24483277,,2021,0.28040953,2022,-0.18327166,27799.17347394,1.94594214,0.21953546,0.00006950,,,,,0.99062514,0.97629162,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2021-05-10,2021-05-10,2024-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00156461,0.00350403,0.00088975,0.00193736,41389.53123270,28000.00000000,13389.53123270,0.47819754,0.19807742,0.20318031,1.10488792,0.17814544,1.62463618,1.09978194,-0.18010608,553,2023,0.46429148,2022,-0.15196209,225979.82677041,75.01913910,1.62311279,0.00267925,0.47369498,0.16990046,0.15751537,0.05637263,,,0.36718371,0.13804754
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-05-10,2021-05-10,2024-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.03938639,0.23417237,0.03891039,0.23417691,41050.88392581,28000.00000000,13050.88392581,0.46610300,0.19860404,0.19869048,1.10738100,0.17814751,1.61607270,1.39432541,-0.14243737,553,2023,0.33968021,2022,-0.07188414,211417.98683209,71.26040787,1.50973006,0.00254501,0.50248210,0.17031257,0.16696754,0.05615057,,,0.32908835,0.03910098
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2021-05-10,2021-05-10,2024-05-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.03938639,0.23417237,0.03891039,0.23417691,41050.88392581,28000.00000000,13050.88392581,0.46610300,0.19860404,0.19869048,1.10738100,0.17814751,1.61607270,1.39432541,-0.14243737,553,2023,0.33968021,2022,-0.07188414,211417.98683209,71.26040787,1.50973006,0.00254501,0.50248210,0.17031257,0.16696754,0.05615057,,,0.32908835,0.03910098
SPY benchmark,sens,sens_2021-05-10,2021-05-10,2024-05-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01158140,0.03217878,0.01158326,0.03218003,34723.22497218,28000.00000000,6723.22497218,0.24011518,0.08543506,0.10931988,0.56334311,0.17192421,0.80532628,0.34960224,-0.24437788,709,2023,0.25579351,2022,-0.18307637,27676.35655062,1.93734496,0.23266648,0.00006919,,,,,0.98841674,0.96781997,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2021-11-08,2021-11-08,2024-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00169030,0.00605878,0.00095185,0.00356722,41265.04693805,28000.00000000,13265.04693805,0.47375168,0.15230796,0.20110386,0.84627659,0.18895467,1.19883712,0.83960162,-0.18140504,553,2023,0.46399037,2022,-0.15247466,249133.25034676,81.88495960,1.87969653,0.00292446,0.47743662,0.16999474,0.15875306,0.05645305,,,0.36207579,0.13831896
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2021-11-08,2021-11-08,2024-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA200,0.04079221,0.23889490,0.04036555,0.23890118,40965.37327979,28000.00000000,12965.37327979,0.46304905,0.15476266,0.19713214,0.85589020,0.18943787,1.20501751,0.91995598,-0.16822833,,2023,0.33719438,2022,-0.06614615,239758.40972433,79.84316765,1.80533530,0.00285154,0.50741318,0.17006286,0.16851200,0.05601837,,,0.32244570,0.03437671
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2021-11-08,2021-11-08,2024-11-08,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,QQQ<SMA10M,0.04079221,0.23889490,0.04036555,0.23890118,40965.37327979,28000.00000000,12965.37327979,0.46304905,0.15476266,0.19713214,0.85589020,0.18943787,1.20501751,0.91995598,-0.16822833,,2023,0.33719438,2022,-0.06614615,239758.40972433,79.84316765,1.80533530,0.00285154,0.50741318,0.17006286,0.16851200,0.05601837,,,0.32244570,0.03437671
SPY benchmark,sens,sens_2021-11-08,2021-11-08,2024-11-08,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01409848,0.03825520,0.01410038,0.03825654,37718.73373292,28000.00000000,9718.73373292,0.34709763,0.09790052,0.15267641,0.62617213,0.17342312,0.89694367,0.40646705,-0.24085721,709,2024,0.26609368,2022,-0.17969084,27929.63243510,1.95507427,0.23256239,0.00006982,,,,,0.98589962,0.96174346,,
