label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00132751,0.01035393,0.00123552,0.00734422,125163.46338286,81500.00000000,43663.46338286,0.53574802,0.00627550,0.06174439,0.14119454,0.22662780,0.19510095,0.01033090,-0.60744961,3877,2009,0.43055678,2008,-0.31920831,1745990.93135711,174.50954576,1.47561743,0.00214122,0.65387846,0.19901312,,,0.34478358,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.04700040,0.41196349,0.04690848,0.41196375,127225.21052806,81500.00000000,45725.21052806,0.56104553,0.03750850,0.06403262,0.28679835,0.19510401,0.39414887,0.10460356,-0.35857770,896,2009,0.35719988,2008,-0.29129489,1778999.10843380,176.33958127,1.35540237,0.00216368,0.70021999,0.19959144,,,0.29854830,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.04715926,0.41195809,0.04706727,0.41195835,127415.62702393,81500.00000000,45915.62702393,0.56338193,0.03774067,0.06424189,0.28799324,0.19500545,0.39581826,0.10525207,-0.35857411,896,2009,0.35719527,2008,-0.29129006,1779908.43696776,176.36593458,1.35412288,0.00216400,0.70040812,0.19958159,,,0.29838160,0.00015691
SPY benchmark,full,full,2000-01-03,2011-12-30,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00136770,0.00828507,0.00136848,0.00828626,96152.62479824,81500.00000000,14652.62479824,0.17978681,0.00306235,0.02421908,0.12407263,0.22078484,0.17570451,0.00553231,-0.55353848,,2003,0.27835875,2008,-0.36995912,81465.60761152,5.70259253,0.07067246,0.00006997,,,0.99863152,0.99171374,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2000-01-03,2007-12-31,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00174224,0.01035393,0.00159936,0.00734422,71319.28341041,57500.00000000,13819.28341041,0.24033536,-0.02247578,0.04545835,0.01119761,0.22485033,0.01556178,-0.03700023,-0.60744961,,2003,0.31423113,2002,-0.23634135,691498.50524254,68.84280542,1.42590685,0.00119727,0.65923667,0.19901312,,,0.33901129,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2000-01-03,2007-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.05669814,0.41196349,0.05655545,0.41196375,77589.27069311,57500.00000000,20089.27069311,0.34937862,0.02948696,0.06307501,0.24952946,0.18683718,0.34587885,0.10802362,-0.27296775,1382,2003,0.30053845,2000,-0.20785369,740479.94616028,72.71051329,1.28456319,0.00126453,0.71510193,0.19990104,,,0.28329934,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,fit,fit,2000-01-03,2007-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.05696305,0.41195809,0.05682044,0.41195835,77743.77957188,57500.00000000,20243.77957188,0.35206573,0.02983252,0.06349002,0.25138335,0.18668269,0.34849355,0.10928953,-0.27296775,1382,2003,0.30053845,2000,-0.20785369,739415.36954323,72.55492779,1.28118161,0.00126182,0.71535474,0.19990104,,,0.28304922,0.00015691
SPY benchmark,fit,fit,2000-01-03,2007-12-31,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00175261,0.00828507,0.00175365,0.00828626,73776.85826832,57500.00000000,16276.85826832,0.28307580,0.01455078,0.05255066,0.17031551,0.17969735,0.24263534,0.03053635,-0.47650690,2434,2003,0.27835875,2002,-0.21727675,57482.73411406,4.02379139,0.10160501,0.00006998,,,0.99824635,0.99171374,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,test,test,2008-01-02,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00152801,0.00625146,0.00153125,0.00623036,45527.08620012,33500.00000000,12027.08620012,0.35901750,0.07200138,0.12068734,0.41717859,0.22990305,0.57107471,0.19477739,-0.36965985,725,2009,0.43058099,2008,-0.30490471,329115.28645651,32.93173929,1.61299254,0.00098304,0.64264191,0.19826631,,,0.35581769,0.09566016
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2008-01-02,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.03254380,0.23451541,0.03255054,0.23451632,43322.61647729,33500.00000000,9822.61647729,0.29321243,0.05641784,0.10079778,0.36780736,0.20795280,0.49866349,0.18771366,-0.30055268,805,2009,0.35388155,2008,-0.28057268,315072.42252586,31.06960251,1.58542703,0.00092745,0.67338905,0.19765407,,,0.32445654,0.02262314
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,test,test,2008-01-02,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.03254380,0.23451541,0.03255054,0.23451632,43322.61647729,33500.00000000,9822.61647729,0.29321243,0.05641784,0.10079778,0.36780736,0.20795280,0.49866349,0.18771366,-0.30055268,805,2009,0.35388155,2008,-0.28057268,315072.42252586,31.06960251,1.58542703,0.00092745,0.67338905,0.19765407,,,0.32445654,0.02262314
SPY benchmark,test,test,2008-01-02,2011-12-30,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00277663,0.00938381,0.00277834,0.00938525,36817.08673603,33500.00000000,3317.08673603,0.09901751,-0.01734723,0.03659655,0.08076275,0.28487761,0.11385183,-0.03339980,-0.51938125,,2009,0.25821235,2008,-0.36365932,33448.21086335,2.34137476,0.19826917,0.00006989,,,0.99722166,0.99061475,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2000-01-03,2000-01-03,2003-01-03,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00299099,0.01035393,0.00260976,0.00734422,18897.76423273,28000.00000000,-9102.23576727,-0.32507985,-0.20414057,-0.18614467,-0.95842220,0.21503888,-1.30223747,-0.33606173,-0.60744961,,2003,0.04872569,2002,-0.23634135,56452.50822022,5.45916031,0.68017827,0.00019497,0.83486360,0.69925616,,,0.16214009,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2000-01-03,2000-01-03,2003-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.11832128,0.29714857,0.11793898,0.29714909,25500.90646061,28000.00000000,-2499.09353939,-0.08925334,-0.06912953,-0.04582019,-0.60009075,0.10979927,-0.78608774,-0.25976480,-0.26612356,,2002,0.01134301,2000,-0.20785369,34291.60801200,2.31046553,0.34291116,0.00008252,0.95166170,0.72838347,,,0.04539873,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2000-01-03,2000-01-03,2003-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.11832128,0.29714857,0.11793898,0.29714909,25500.90646061,28000.00000000,-2499.09353939,-0.08925334,-0.06912953,-0.04582019,-0.60009075,0.10979927,-0.78608774,-0.25976480,-0.26612356,,2002,0.01134301,2000,-0.20785369,34291.60801200,2.31046553,0.34291116,0.00008252,0.95166170,0.72838347,,,0.04539873,0.00015691
SPY benchmark,sens,sens_2000-01-03,2000-01-03,2003-01-03,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00281282,0.00828507,0.00281484,0.00828626,20864.14707463,28000.00000000,-7135.85292537,-0.25485189,-0.13354391,-0.14083531,-0.47805108,0.24066300,-0.68039183,-0.28025598,-0.47650690,,2003,0.03528178,2002,-0.21727675,27955.70614933,1.95689943,0.29269665,0.00006989,,,0.99718516,0.99171374,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2000-07-03,2000-07-03,2003-07-03,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00288867,0.00706024,0.00258983,0.00562404,22770.71687758,28000.00000000,-5229.28312242,-0.18676011,-0.16649290,-0.10016014,-0.72425654,0.21934991,-0.99782493,-0.28628164,-0.58157030,,2003,0.16501104,2002,-0.23631297,60417.86111226,5.87479979,0.73603241,0.00020981,0.81280315,0.68230175,,,0.18430244,0.09320901
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2000-07-03,2000-07-03,2003-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.12324428,0.29717400,0.12319406,0.29717456,30263.73754792,28000.00000000,2263.73754792,0.08084777,-0.00914645,0.03898053,-0.03571196,0.10481163,-0.05004815,-0.04228804,-0.21628932,,2003,0.15286894,2000,-0.17229235,55137.97556008,4.49664815,0.52950897,0.00016059,0.93607694,0.68300534,,,0.06172999,0.00013873
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2000-07-03,2000-07-03,2003-07-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.12324428,0.29717400,0.12319406,0.29717456,30263.73754792,28000.00000000,2263.73754792,0.08084777,-0.00914645,0.03898053,-0.03571196,0.10481163,-0.05004815,-0.04228804,-0.21628932,,2003,0.15286894,2000,-0.17229235,55137.97556008,4.49664815,0.52950897,0.00016059,0.93607694,0.68300534,,,0.06172999,0.00013873
SPY benchmark,sens,sens_2000-07-03,2000-07-03,2003-07-03,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00320677,0.00793672,0.00320885,0.00793816,23726.24832174,28000.00000000,-4273.75167826,-0.15263399,-0.11403728,-0.08063056,-0.41194857,0.23076251,-0.58271340,-0.24089529,-0.47338943,,2003,0.12626625,2002,-0.21761855,27960.13318344,1.95720932,0.30622273,0.00006990,,,0.99679115,0.99206184,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2001-01-03,2001-01-03,2004-01-02,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00206183,0.00458222,0.00200996,0.00457489,27944.61378515,28000.00000000,-55.38621485,-0.00197808,-0.07478767,-0.00098307,-0.24055493,0.22216083,-0.33384455,-0.15618924,-0.47882728,,2003,0.31423093,2002,-0.23633146,80907.42783180,7.83227439,0.86694079,0.00027972,0.78041409,0.49514433,,,0.21751766,0.04873190
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2001-01-03,2001-01-03,2004-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.12249956,0.29735938,0.12250192,0.29735997,36090.16309982,28000.00000000,8090.16309982,0.28893440,0.10513996,0.13014750,0.89095073,0.12102027,1.29491628,1.07269074,-0.09801517,,2003,0.30052833,2004,-0.00422425,83451.81174400,7.30477215,0.68106086,0.00026088,0.90267760,0.49712326,,,0.09539676,0.00000000
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2001-01-03,2001-01-03,2004-01-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.12249956,0.29735938,0.12250192,0.29735997,36090.16309982,28000.00000000,8090.16309982,0.28893440,0.10513996,0.13014750,0.89095073,0.12102027,1.29491628,1.07269074,-0.09801517,,2003,0.30052833,2004,-0.00422425,83451.81174400,7.30477215,0.68106086,0.00026088,0.90267760,0.49712326,,,0.09539676,0.00000000
SPY benchmark,sens,sens_2001-01-03,2001-01-03,2004-01-02,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00261178,0.00742645,0.00261383,0.00742810,28340.01389803,28000.00000000,340.01389803,0.01214335,-0.05050696,0.00600309,-0.12939685,0.21847199,-0.18308886,-0.11982156,-0.42151814,,2003,0.27828459,2002,-0.21765020,27946.43624954,1.95625054,0.28908366,0.00006987,,,0.99738617,0.99257190,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2001-07-03,2001-07-03,2004-07-02,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00184284,0.00597077,0.00183266,0.00592936,28504.50596233,28000.00000000,504.50596233,0.01801807,-0.05004815,0.00888752,-0.10237071,0.23496364,-0.14325684,-0.12090647,-0.41394101,,2003,0.31424141,2002,-0.23633771,120251.99746868,11.85136920,1.17499363,0.00042326,0.72908745,0.40108264,,,0.26906142,0.11909262
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2001-07-03,2001-07-03,2004-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.10641141,0.29735937,0.10641488,0.29735997,34020.77956615,28000.00000000,6020.77956615,0.21502784,0.08923042,0.09910428,0.62600300,0.15707678,0.90121398,0.46726653,-0.19096258,,2003,0.30053148,2004,-0.02946768,134610.29236240,12.52829970,1.06289249,0.00044744,0.83532377,0.40034989,,,0.16312944,0.00000000
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA10M,sens,sens_2001-07-03,2001-07-03,2004-07-02,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA10M,0.10641141,0.29735937,0.10641488,0.29735997,34020.77956615,28000.00000000,6020.77956615,0.21502784,0.08923042,0.09910428,0.62600300,0.15707678,0.90121398,0.46726653,-0.19096258,,2003,0.30053148,2004,-0.02946768,134610.29236240,12.52829970,1.06289249,0.00044744,0.83532377,0.40034989,,,0.16312944,0.00000000
SPY benchmark,sens,sens_2001-07-03,2001-07-03,2004-07-02,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00265016,0.00595845,0.00265217,0.00596022,29837.59162151,28000.00000000,1837.59162151,0.06562827,-0.01805185,0.03181417,0.01234712,0.20446771,0.01764820,-0.05016488,-0.35985035,,2003,0.27816958,2002,-0.21690861,27923.26060482,1.95462824,0.26588567,0.00006981,,,0.99734783,0.99403978,,
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,sens,sens_2002-01-03,2002-01-03,2005-01-03,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,,0.00214440,0.00543188,0.00214037,0.00540931,32366.34453998,28000.00000000,4366.34453998,0.15594088,0.01453184,0.07308752,0.17734886,0.22844410,0.25272060,0.04135795,-0.35136742,731,2003,0.31423559,2002,-0.25463113,153213.02944635,15.10237810,1.38635944,0.00053937,0.67741315,0.19833523,,,0.32043264,0.11908433
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2002-01-03,2002-01-03,2005-01-03,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,QQQ<SMA200,0.06459395,0.28495462,0.06459510,0.28495541,33359.81602975,28000.00000000,5359.81602975,0.19142200,0.05990404,0.08867484,0.41279352,0.18073432,0.58715053,0.26199419,-0.22864643,,2003,0.30127505,2002,-0.11457219,140656.44792710,13.39147083,1.17802851,0.00047827,0.74165102,0.19831939,,,0.25661001,0.00971072
