label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.assets,params.filter,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.EFA.avg,exposure.EFA.min,exposure.SPY.avg,exposure.SPY.min,exposure.VEU.avg,exposure.VEU.min
ROT SPY+VEU top1 12M all fb AGG,sens,sens_2014-07-01,2014-07-01,2019-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00308654,0.01128197,0.00309234,0.01128286,54291.22245657,40000.00000000,14291.22245657,0.35728056,0.09283304,0.09933562,0.74272399,0.13134166,1.04026544,0.46212439,-0.20088323,452,2017,0.20358756,2018,-0.08302573,189644.49817680,23.79645023,0.63851606,0.00059491,0.00000000,0.00000000,,,0.80029029,0.00000000,0.19661736,0.00000000
SPY benchmark,sens,sens_2014-07-01,2014-07-01,2019-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00331232,0.01128197,0.00331359,0.01128286,56439.47515167,40000.00000000,16439.47515167,0.41098688,0.10272663,0.11208072,0.80118457,0.13336577,1.12102935,0.52852857,-0.19436344,204,2017,0.21305278,2018,-0.04833380,39954.55703079,2.79681899,0.13245336,0.00006992,,,,,0.99668641,0.98871714,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00369204,0.01583125,0.00370626,0.01583236,48826.36464022,39500.00000000,9326.36464022,0.23611050,0.05298232,0.06799359,0.47572421,0.12515115,0.64735044,0.26402677,-0.20067024,693,2017,0.20353056,2018,-0.08300452,418394.99053489,41.93316568,1.54014947,0.00106160,0.08318194,0.00000000,,,0.71329118,0.00000000,0.19982062,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00369204,0.01583125,0.00370626,0.01583236,48826.36464022,39500.00000000,9326.36464022,0.23611050,0.05298232,0.06799359,0.47572421,0.12515115,0.64735044,0.26402677,-0.20067024,693,2017,0.20353056,2018,-0.08300452,418394.99053489,41.93316568,1.54014947,0.00106160,0.08318194,0.00000000,,,0.71329118,0.00000000,0.19982062,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00367519,0.01583125,0.00368761,0.01583236,48527.56437928,39500.00000000,9027.56437928,0.22854593,0.05098145,0.06601229,0.46345346,0.12406475,0.62971270,0.26265257,-0.19410224,452,2017,0.18577786,2018,-0.07807543,418070.21926570,35.19651120,1.54746311,0.00089105,0.08317069,0.00000000,0.18317759,0.00000000,0.72996411,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00367519,0.01583125,0.00368761,0.01583236,48527.56437928,39500.00000000,9027.56437928,0.22854593,0.05098145,0.06601229,0.46345346,0.12406475,0.62971270,0.26265257,-0.19410224,452,2017,0.18577786,2018,-0.07807543,418070.21926570,35.19651120,1.54746311,0.00089105,0.08317069,0.00000000,0.18317759,0.00000000,0.72996411,0.00000000,,
SPY60/AGG40,sens,sens_2015-01-02,2015-01-02,2019-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00592863,0.01719197,0.00429894,0.01290183,52161.79960603,39500.00000000,12661.79960603,0.32055189,0.07883787,0.08937564,1.01886653,0.07752724,1.43167020,0.69526519,-0.11339252,179,2019,0.21434125,2018,-0.02729145,46829.49749317,3.97513623,0.16443343,0.00010064,0.39815124,0.39420044,,,0.59591843,0.58709817,,
EW SPY/VEU/AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00748927,0.01798306,0.00513437,0.01292047,49874.21041317,39500.00000000,10374.21041317,0.26263824,0.06565221,0.07485352,0.78081402,0.08631814,1.07911644,0.48807833,-0.13451164,510,2019,0.19829999,2018,-0.06444691,45508.59997587,5.61987277,0.16364390,0.00014228,0.33131694,0.32685882,,,0.32861161,0.32041287,0.33257969,0.33049435
ROT SPY top1 12M@SPY>BIL fb AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00393553,0.01583125,0.00394512,0.01583236,50553.93595264,39500.00000000,11053.93595264,0.27984648,0.06235535,0.07923210,0.53945793,0.12733145,0.73406549,0.32042389,-0.19460268,452,2017,0.21273082,2015,-0.06880498,302457.38513215,25.20342285,1.09216719,0.00063806,0.08317562,0.00000000,,,0.91287925,0.00000000,,
ROT SPY+VEU top1 12M all fb AGG,sens,sens_2015-01-02,2015-01-02,2019-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00374827,0.01583125,0.00375418,0.01583236,56459.78443313,39500.00000000,16959.78443313,0.42936163,0.10261674,0.11513381,0.80845711,0.13174037,1.12667960,0.51216867,-0.20035731,452,2019,0.30819993,2018,-0.08256180,170395.53541228,21.24840824,0.57043352,0.00053793,0.00000000,0.00000000,,,0.79641289,0.00000000,0.19983293,0.00000000
SPY benchmark,sens,sens_2015-01-02,2015-01-02,2019-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00427583,0.01583125,0.00427712,0.01583236,58542.45429268,39500.00000000,19042.45429268,0.48208745,0.11257886,0.12697198,0.86598256,0.13369490,1.20586913,0.58081697,-0.19382847,204,2019,0.30821096,2018,-0.04793104,39279.98442302,2.74959891,0.12888232,0.00006961,,,,,0.99572288,0.98416764,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00378637,0.01554803,0.00380309,0.01554916,41105.55339743,40000.00000000,1105.55339743,0.02763883,0.01393468,0.00880254,0.16734001,0.17402100,0.22169184,0.04140740,-0.33652625,,2017,0.20343827,2020,-0.15599872,520176.83183522,49.90400582,1.92039454,0.00124760,0.11446753,0.00000000,,,0.68517501,0.00000000,0.19655437,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00378637,0.01554803,0.00380309,0.01554916,41105.55339743,40000.00000000,1105.55339743,0.02763883,0.01393468,0.00880254,0.16734001,0.17402100,0.22169184,0.04140740,-0.33652625,,2017,0.20343827,2020,-0.15599872,520176.83183522,49.90400582,1.92039454,0.00124760,0.11446753,0.00000000,,,0.68517501,0.00000000,0.19655437,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00399531,0.01554803,0.00401025,0.01554916,40898.67724440,40000.00000000,898.67724440,0.02246693,0.01207923,0.00717287,0.15671444,0.17310285,0.20741600,0.03592596,-0.33622557,,2017,0.18559448,2020,-0.15579738,519332.26336381,43.82989698,1.92812154,0.00109575,0.11450819,0.00000000,0.18009341,0.00000000,0.70138816,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00399531,0.01554803,0.00401025,0.01554916,40898.67724440,40000.00000000,898.67724440,0.02246693,0.01207923,0.00717287,0.15671444,0.17310285,0.20741600,0.03592596,-0.33622557,,2017,0.18559448,2020,-0.15579738,519332.26336381,43.82989698,1.92812154,0.00109575,0.11450819,0.00000000,0.18009341,0.00000000,0.70138816,0.00000000,,
SPY60/AGG40,sens,sens_2015-07-01,2015-07-01,2020-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00621161,0.02148056,0.00448512,0.01328575,51881.01146202,40000.00000000,11881.01146202,0.29702529,0.07925059,0.08440916,0.73131383,0.11323861,0.99052156,0.36686633,-0.21602035,,2019,0.21391208,2018,-0.02764043,51248.60332904,4.37298722,0.17727453,0.00010932,0.39797661,0.39176506,,,0.59581005,0.58671425,,
EW SPY/VEU/AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00811984,0.02480359,0.00536790,0.01440311,48243.75933798,40000.00000000,8243.75933798,0.20609398,0.05641490,0.06070557,0.51313220,0.12161264,0.68000018,0.24187362,-0.23324125,,2019,0.19841004,2018,-0.06474346,51468.33202157,6.28712868,0.18443491,0.00015718,0.33125029,0.32508165,,,0.32813176,0.31893022,0.33249551,0.33002835
ROT SPY top1 12M@SPY>BIL fb AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00440282,0.01554803,0.00441497,0.01554916,42425.06973056,40000.00000000,2425.06973056,0.06062674,0.02303967,0.01901504,0.21844017,0.17543003,0.28952377,0.06854236,-0.33613767,,2017,0.21243518,2020,-0.15576512,423010.33495786,35.47385193,1.52727662,0.00088685,0.11449524,0.00000000,,,0.88108979,0.00000000,,
ROT SPY+VEU top1 12M all fb AGG,sens,sens_2015-07-01,2015-07-01,2020-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00351010,0.01554803,0.00351593,0.01554916,53575.03425835,40000.00000000,13575.03425835,0.33937586,0.09231152,0.09492081,0.56461228,0.18812269,0.77367929,0.27422680,-0.33662471,,2019,0.30714588,2018,-0.08295341,155104.57843004,19.14053917,0.51444400,0.00047851,0.00000000,0.00000000,,,0.79990336,0.00000000,0.19658072,0.00000000
SPY benchmark,sens,sens_2015-07-01,2015-07-01,2020-07-01,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00410072,0.01554803,0.00410198,0.01554916,55428.10226158,40000.00000000,15428.10226158,0.38570256,0.10242688,0.10606960,0.61086553,0.18938774,0.83706414,0.30428597,-0.33661388,,2019,0.30828026,2018,-0.04813367,39884.89158543,2.79194241,0.12919630,0.00006980,,,,,0.99589802,0.98445084,,
ROT SPY+VEU top1 12M@SPY>BIL fb AGG,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,@SPY>BIL,0.00390696,0.01287985,0.00392119,0.01288086,49861.81712178,39500.00000000,10361.81712178,0.26232448,0.07576816,0.07476379,0.50915055,0.17311372,0.67973867,0.22527618,-0.33633454,,2017,0.20307095,2018,-0.08312705,443808.78279015,42.94652867,1.56315783,0.00108725,0.09976566,0.00000000,,,0.69645222,0.00000000,0.19986093,0.00000000
ROT SPY+VEU top1 12M>BIL fb AGG,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+VEU,>BIL,0.00390696,0.01287985,0.00392119,0.01288086,49861.81712178,39500.00000000,10361.81712178,0.26232448,0.07576816,0.07476379,0.50915055,0.17311372,0.67973867,0.22527618,-0.33633454,,2017,0.20307095,2018,-0.08312705,443808.78279015,42.94652867,1.56315783,0.00108725,0.09976566,0.00000000,,,0.69645222,0.00000000,0.19986093,0.00000000
ROT SPY+EFA top1 12M@SPY>BIL fb AGG,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,@SPY>BIL,0.00436752,0.01287985,0.00437991,0.01288086,49663.79369711,39500.00000000,10163.79369711,0.25731123,0.07392071,0.07347754,0.50111819,0.17211398,0.66845460,0.22011915,-0.33582136,,2017,0.18521494,2018,-0.07804396,442806.65894585,37.31153832,1.56827696,0.00094460,0.09971554,0.00000000,0.18304397,0.00000000,0.71286058,0.00000000,,
ROT SPY+EFA top1 12M>BIL fb AGG,sens,sens_2016-01-04,2016-01-04,2020-12-31,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,SPY+EFA,>BIL,0.00436752,0.01287985,0.00437991,0.01288086,49663.79369711,39500.00000000,10163.79369711,0.25731123,0.07392071,0.07347754,0.50111819,0.17211398,0.66845460,0.22011915,-0.33582136,,2017,0.18521494,2018,-0.07804396,442806.65894585,37.31153832,1.56827696,0.00094460,0.09971554,0.00000000,0.18304397,0.00000000,0.71286058,0.00000000,,
SPY60/AGG40,sens,sens_2016-01-04,2016-01-04,2020-12-31,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,0.00662996,0.01936807,0.00483164,0.01445746,56359.09717333,39500.00000000,16859.09717333,0.42681259,0.10769325,0.11453997,0.96353932,0.11278482,1.30973679,0.49785931,-0.21631261,152,2019,0.21385297,2018,-0.02730991,52853.22860937,4.51042643,0.17752396,0.00011419,0.39793602,0.39305156,,,0.59543226,0.58554254,,
