label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.weights,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.NTSX.avg,exposure.NTSX.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00449807,0.06819676,0.00375507,0.06820190,33609.95874024,25500.00000000,8109.95874024,0.31803760,0.16707570,0.15721691,0.83680148,0.21303946,1.13443546,0.91868785,-0.18186341,447,2024,0.20960873,2026,0.04959936,216484.57615637,72.04682679,1.92268262,0.00282537,,,0.42765935,0.14948330,0.14208554,0.04919289,,,,,0.42848494,0.19602462
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00624525,0.06556656,0.00507918,0.06556745,34473.86265876,25500.00000000,8973.86265876,0.35191618,0.17804592,0.17239321,0.86728214,0.21751931,1.17971786,1.03055912,-0.17276634,398,2025,0.20754748,2026,0.06053856,218836.34927427,51.89069073,1.92351975,0.00203493,0.28292248,0.09623809,0.28483228,0.09949324,,,,,,,0.42842950,0.19717583
TQQQ50/BTAL50 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00898509,0.10685250,0.00870039,0.10685991,34357.75027685,25500.00000000,8857.75027685,0.34736276,0.19486854,0.17036834,0.92237379,0.22060294,1.30309555,0.78717882,-0.24755307,288,2024,0.38185099,2025,0.05194469,56087.98041316,21.85507793,0.47729761,0.00085706,,,0.50740905,0.49903107,,,,,,,0.49135723,0.39314009
SPY benchmark,test,test,2024-01-02,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.01496400,0.03278446,0.01496591,0.03278600,36178.73062717,25500.00000000,10678.73062717,0.41877375,0.20671575,0.20161381,1.29515663,0.15519606,1.93260825,1.11662343,-0.18512575,127,2024,0.24737230,2026,0.12210687,25224.78616047,1.76573503,0.21641169,0.00006924,,,,,,,,,0.98503409,0.96721400,,
NTSX100,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""NTSX"":1.0}",0.00079318,0.00247647,0.00080820,0.00277564,33567.29395097,28000.00000000,5567.29395097,0.19883193,0.12133609,0.09192004,0.65591131,0.20744083,0.89195166,0.42884005,-0.28294021,142,2020,0.24633853,2022,-0.18882548,27966.03266757,16.77961960,0.19169074,0.00059927,,,,,,,0.99919180,0.99722436,,,,
NTSX75/BIL25,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.25,""NTSX"":0.75}",0.00286955,0.00740082,0.00214430,0.00535794,32217.43259373,28000.00000000,4217.43259373,0.15062259,0.09389217,0.07074448,0.65932752,0.15401417,0.89345213,0.43425649,-0.21621362,110,2020,0.18608839,2022,-0.14379852,30693.42148122,12.49446359,0.22362943,0.00044623,0.24793842,0.24464206,,,,,0.74918060,0.74778246,,,,
NTSX62.5/BIL37.5,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.375,""NTSX"":0.625}",0.00290499,0.00802589,0.00219213,0.00631529,31531.04776230,28000.00000000,3531.04776230,0.12610885,0.07956605,0.05972283,0.66223705,0.12783681,0.89600993,0.43742111,-0.18189806,110,2020,0.15544735,2022,-0.12073773,31664.37547284,10.91872082,0.23796393,0.00038995,0.37288052,0.36868471,,,,,0.62420455,0.62265716,,,,
NTSX50/BIL50,sens,sens_2019-05-08,2019-05-08,2022-05-06,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,"{""BIL"":0.5,""NTSX"":0.5}",0.00278965,0.00720966,0.00216348,0.00636424,30846.70971070,28000.00000000,2846.70971070,0.10166820,0.06502648,0.04855441,0.66908286,0.10178913,0.90421295,0.44393222,-0.14647841,110,2020,0.12520534,2022,-0.09733650,31756.82629072,9.33646195,0.24615464,0.00033345,0.49793797,0.49363576,,,,,0.49926393,0.49799329,,,,
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00595137,0.09554470,0.00546653,0.09554987,40865.47858697,28000.00000000,12865.47858697,0.45948138,0.21688680,0.19662798,0.93188639,0.24195431,1.28153647,1.07833624,-0.20113095,324,2019,0.27963594,2022,-0.06626366,243400.47768126,81.01983135,1.58166081,0.00289357,,,0.45386924,0.14955055,0.15090949,0.04900583,,,,,0.39397178,0.09735839
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,sens,sens_2019-05-08,2019-05-08,2022-05-06,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,0.00716662,0.09287266,0.00644994,0.09287334,38487.56301003,28000.00000000,10487.56301003,0.37455582,0.19098654,0.16414148,0.86403782,0.23383057,1.17791768,0.98428627,-0.19403556,141,2021,0.26190269,2022,-0.13361565,245787.63518379,57.99070507,1.59206816,0.00207110,0.30078693,0.09545737,0.30223996,0.09979470,,,,,,,0.39424167,0.09915828
