label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL,0.20000000,0.02205712,0.22826552,0.02167759,0.22826604,88651.52728036,44000.00000000,44651.52728036,1.01480744,0.18537264,0.20199847,0.87204783,0.22535339,1.21790823,0.76293459,-0.24297317,605,2023,0.48368353,2022,-0.20432504,788956.03709917,78.55626425,1.72712223,0.00178537,0.61926554,0.19342173,,,,,,,,,0.37883411,0.04501185
VT TQQQ/BIL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL,0.25000000,0.02650393,0.28332639,0.02614159,0.28332701,98366.01915494,44000.00000000,54366.01915494,1.23559134,0.21478963,0.23263020,0.86051580,0.26993825,1.20284477,0.71602342,-0.29997570,606,2023,0.57133666,2022,-0.25455130,881907.28208854,87.96724549,1.80763185,0.00199926,0.53766186,0.19827450,,,,,,,,,0.46043889,0.05827036
VT TQQQ/BIL50+BTAL50 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL50+BTAL50,0.20000000,0.02254002,0.23042406,0.02204929,0.23042545,80795.61497756,44000.00000000,36795.61497756,0.83626398,0.16399087,0.17485237,0.85667648,0.20222901,1.19539080,0.87014713,-0.18846339,572,2023,0.40575042,2022,-0.14131020,767476.85744703,181.04642907,1.72017311,0.00411469,0.30904102,0.09338319,0.31024807,0.09902433,,,,,,,0.37855698,0.04285245
VT TQQQ/BIL50+BTAL50 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BIL50+BTAL50,0.25000000,0.02711940,0.28599905,0.02657018,0.28600046,91034.71779912,44000.00000000,47034.71779912,1.06897086,0.19642892,0.20979098,0.85342176,0.24736228,1.19114306,0.76836206,-0.25564631,601,2023,0.49096812,2022,-0.19872206,857527.61342996,202.44133150,1.79786114,0.00460094,0.26834215,0.09589581,0.26941240,0.09957040,,,,,,,0.46006590,0.05559691
TQQQ50/BTAL50 gate QQQ<SMA200,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,,,0.05223510,0.39663067,0.05205205,0.39663758,80323.47228407,44000.00000000,36323.47228407,0.82553346,0.16124469,0.17314329,0.78773703,0.22221672,1.12632921,0.52027570,-0.30992162,683,2023,0.46780948,2022,-0.25830154,190481.85113137,74.07256612,0.42142793,0.00168347,,,0.55116127,0.49856868,,,,,,,0.44801820,0.10336242
SPY benchmark,full,full,2020-12-18,2026-08-24,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,,,0.00776260,0.02938556,0.00776372,0.02941953,76979.08018368,44000.00000000,32979.08018368,0.74952455,0.14815618,0.16076005,0.92053059,0.16582684,1.33958435,0.60588003,-0.24453056,709,2021,0.28166993,2022,-0.18247338,43403.08520685,3.03821596,0.10441417,0.00006905,,,,,,,,,0.99223628,0.97058047,,
VT TQQQ/BTAL75+KMLM25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+KMLM25,0.20000000,0.02953590,0.23271777,0.02916750,0.23272372,54223.75668557,34000.00000000,20223.75668557,0.59481637,0.17395975,0.18309543,0.88793662,0.20515272,1.24530655,0.91256986,-0.19062623,169,2023,0.35127130,2022,-0.06171072,399394.44142025,151.22765476,1.69067727,0.00444787,,,0.47538661,0.14979190,,,0.15803366,0.04996647,,,0.36538681,0.04055417
VT TQQQ/BTAL75+KMLM25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+KMLM25,0.25000000,0.03623524,0.28897993,0.03581324,0.28898598,58418.36227730,34000.00000000,24418.36227730,0.71818713,0.20228095,0.21353830,0.87407237,0.24657657,1.22372703,0.98955429,-0.20441623,557,2023,0.43556307,2022,-0.12777427,461560.15049506,173.85618206,1.88399537,0.00511342,,,0.41475905,0.14897128,,,0.13785065,0.04882742,,,0.44608072,0.05261139
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+DBMF25,0.20000000,0.02966490,0.23271690,0.02919009,0.23272072,54173.70335162,34000.00000000,20173.70335162,0.59334422,0.17174632,0.18272041,0.87226792,0.20713597,1.22446448,0.90069288,-0.19068245,167,2023,0.34071490,2022,-0.07342515,398073.45986378,132.13265634,1.69737536,0.00388625,,,0.47527594,0.14872668,0.15805029,0.04898819,,,,,0.36532271,0.04055717
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2020-12-18,2024-12-31,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15-bil0,BTAL75+DBMF25,0.25000000,0.03628736,0.28894590,0.03580134,0.28895001,58392.40554371,34000.00000000,24392.40554371,0.71742369,0.20050372,0.21335563,0.86294139,0.24862621,1.20950598,0.92439588,-0.21690243,570,2023,0.42579185,2022,-0.13791244,459963.19454698,152.16971941,1.88965269,0.00447558,,,0.41476956,0.14933277,0.13780368,0.04866455,,,,,0.44606271,0.05264735
