label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-40 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.40000000,,0.00050868,0.00189150,0.00038163,0.00137992,101794.61475274,53500.00000000,48294.61475274,0.90270308,0.15823556,0.14687863,0.83059811,0.20201914,1.17474442,0.53221163,-0.29731700,533,2023,0.49521160,2022,-0.25465807,402788.40499004,153.69608281,0.53866691,0.00287282,0.62260790,0.59862008,,,,,0.37686376,0.14898202
VT TQQQ/BTAL t30 w0-40 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.40000000,QQQ<SMA200,0.02309558,0.32514888,0.02299119,0.32515270,101346.77607449,53500.00000000,47846.77607449,0.89433226,0.15881055,0.14587700,0.86606991,0.19205657,1.22157411,0.69551215,-0.22833613,355,2023,0.32227667,2022,-0.15287247,333615.68400279,129.31974206,0.44489858,0.00241719,0.64523900,0.59862008,,,,,0.35424031,0.07484730
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,,0.00045156,0.00165623,0.00035047,0.00121483,123603.56477036,53500.00000000,70103.56477036,1.31034701,0.19878776,0.19102881,0.89430510,0.23413043,1.25421930,0.61720563,-0.32207703,530,2023,0.62446049,2022,-0.27984041,594630.50987680,225.27680114,0.70910198,0.00421078,0.55709447,0.49878517,,,,,0.44242923,0.14892715
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,QQQ<SMA200,0.02314796,0.33448040,0.02305658,0.33448393,122879.62875102,53500.00000000,69379.62875102,1.29681549,0.19899243,0.18969068,0.92154344,0.22516582,1.28867686,0.79384876,-0.25066793,140,2023,0.43172744,2022,-0.18161748,514405.62331742,196.75776654,0.61300298,0.00367772,0.57983449,0.49878517,,,,,0.41970170,0.07543290
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.60000000,,0.00048387,0.00207499,0.00038290,0.00190531,133882.21786565,53500.00000000,80382.21786565,1.50247136,0.21347609,0.20924482,0.86711297,0.26438219,1.19967181,0.61754093,-0.34568735,533,2023,0.64749062,2022,-0.30490593,897830.54552424,338.20773437,1.04478303,0.00632164,0.50709159,0.39809469,,,,,0.49239110,0.14897635
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.60000000,QQQ<SMA200,0.02320801,0.33458758,0.02311786,0.33459111,133077.51364536,53500.00000000,79577.51364536,1.48743016,0.21368282,0.20786871,0.88649597,0.25647526,1.22279735,0.78530792,-0.27210069,533,2023,0.45195086,2022,-0.20973003,816217.33238423,309.17941462,0.94909524,0.00577905,0.52985977,0.39809469,,,,,0.46963404,0.07532573
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.70000000,,0.00046291,0.00127909,0.00036375,0.00113646,141054.86813267,53500.00000000,87554.86813267,1.63653959,0.22549836,0.22116777,0.85863112,0.28529531,1.18296514,0.63892536,-0.35293381,601,2023,0.65403705,2022,-0.30744691,1239222.62522641,465.24211123,1.40352849,0.00869611,0.47239204,0.29889718,,,,,0.52710153,0.14900957
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.70000000,QQQ<SMA200,0.02309643,0.33422981,0.02302268,0.33423325,140230.02904279,53500.00000000,86730.02904279,1.62112204,0.22569471,0.21982694,0.87437796,0.27799263,1.20133795,0.80478693,-0.28044032,601,2023,0.45820739,2022,-0.21305794,1154165.30525088,435.00704146,1.30620946,0.00813097,0.49513243,0.29889718,,,,,0.50442283,0.07568359
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.80000000,,0.00048985,0.00172864,0.00040219,0.00164039,148564.18891658,53500.00000000,95064.18891658,1.77690073,0.23726459,0.23303748,0.86272728,0.30016690,1.18686622,0.66024360,-0.35935917,605,2023,0.69069229,2022,-0.30725430,1602495.98435879,601.23957801,1.76990941,0.01123812,0.44701615,0.19864943,,,,,0.55244022,0.14902516
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.80000000,QQQ<SMA200,0.02315279,0.33412192,0.02307926,0.33412531,147706.92016625,53500.00000000,94206.92016625,1.76087701,0.23745909,0.23171208,0.87665525,0.29323536,1.20297177,0.82552146,-0.28764739,602,2023,0.49043847,2022,-0.21295274,1514576.08415378,569.88339391,1.67171458,0.01065203,0.46972053,0.19864943,,,,,0.52975580,0.07579153
