label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.70000000,,0.00062322,0.00247210,0.00049186,0.00191318,100530.22849039,44000.00000000,56530.22849039,1.28477792,0.21798769,0.23976970,0.81467951,0.29796067,1.15255747,0.52422585,-0.41582781,605,2023,0.81436098,2022,-0.37365294,610298.72406125,229.09994788,1.20379605,0.00520682,0.42236170,0.29874063,,,,,,,0.57697797,0.24293684
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.70000000,QQQ<SMA200,0.03529889,0.39890127,0.03518968,0.39890785,100380.53514485,44000.00000000,56380.53514485,1.28137580,0.22204610,0.23932703,0.85694057,0.28167322,1.21004837,0.67139969,-0.33072117,601,2023,0.56425831,2022,-0.26059974,564035.78866987,213.35530973,1.10850329,0.00484898,0.45712864,0.29874063,,,,,,,0.54224101,0.07932846
VT TQQQ/BTAL t35 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.80000000,,0.00070264,0.00211401,0.00053971,0.00162753,104039.77339101,44000.00000000,60039.77339101,1.36454030,0.22708030,0.24997785,0.80031779,0.32214902,1.12469436,0.53487570,-0.42454779,606,2023,0.81834244,2022,-0.37667769,818626.45396504,306.01417341,1.59820704,0.00695487,0.38624895,0.19904718,,,,,,,0.61300030,0.24278968
VT TQQQ/BTAL t35 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.35000000,0.80000000,QQQ<SMA200,0.03527035,0.39873311,0.03515791,0.39873965,103850.29143695,44000.00000000,59850.29143695,1.36023390,0.23105612,0.24943485,0.83456774,0.30720233,1.17017471,0.67833603,-0.34062192,605,2023,0.56704039,2022,-0.26410936,771908.75845826,290.07759766,1.50186454,0.00659267,0.42103408,0.19904718,,,,,,,0.57833120,0.07949666
VT TQQQ/BTAL t40 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.50000000,,0.00087675,0.00318041,0.00063129,0.00177873,82273.62077664,44000.00000000,38273.62077664,0.86985502,0.16407132,0.18067417,0.74093407,0.24741727,1.06074929,0.41014887,-0.40002870,683,2023,0.69951079,2022,-0.36150913,251753.33423684,96.13437780,0.55536344,0.00218487,0.51839587,0.49856868,,,,,,,0.48070658,0.27717025
VT TQQQ/BTAL t40 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.50000000,QQQ<SMA200,0.03877133,0.40605943,0.03858844,0.40606646,82006.07023696,44000.00000000,38006.07023696,0.86377432,0.16813838,0.17972045,0.82183045,0.21937921,1.17650084,0.57183144,-0.29403487,567,2023,0.46237565,2022,-0.23835565,214838.21200067,83.57552059,0.47102771,0.00189944,0.55651637,0.49856868,,,,,,,0.44269097,0.09393354
VT TQQQ/BTAL t40 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.60000000,,0.00066322,0.00191230,0.00048729,0.00177119,96458.33066093,44000.00000000,52458.33066093,1.19223479,0.20761254,0.22750613,0.80158232,0.28852105,1.14705226,0.47760554,-0.43469459,567,2023,0.88978298,2022,-0.39528462,350496.67661884,132.28803627,0.69878302,0.00300655,0.44694824,0.39912128,,,,,,,0.55236372,0.27736078
VT TQQQ/BTAL t40 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.60000000,QQQ<SMA200,0.03946153,0.45214905,0.03933114,0.45215599,96772.47263539,44000.00000000,52772.47263539,1.19937438,0.21409999,0.22846909,0.87521995,0.26211901,1.25228238,0.65009076,-0.32933862,535,2023,0.60088256,2022,-0.26526656,302873.18779395,116.02101774,0.59845791,0.00263684,0.48591700,0.39912128,,,,,,,0.51347636,0.09439979
VT TQQQ/BTAL t40 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.70000000,,0.00068023,0.00199960,0.00051323,0.00185554,108261.36610662,44000.00000000,64261.36610662,1.46048559,0.23888227,0.26184614,0.82748936,0.32362031,1.17908049,0.52301453,-0.45674117,605,2023,0.98322995,2022,-0.41670702,496202.05339922,186.42378585,0.92787861,0.00423690,0.38658967,0.29874063,,,,,,,0.61269959,0.27749934
VT TQQQ/BTAL t40 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.40000000,0.70000000,QQQ<SMA200,0.03935841,0.45186510,0.03925148,0.45187176,108623.72898361,44000.00000000,64623.72898361,1.46872111,0.24547073,0.26284499,0.88520135,0.30037593,1.26033526,0.67870071,-0.36167743,601,2023,0.68008021,2022,-0.29178899,447560.33788392,169.73750591,0.82986173,0.00385767,0.42548891,0.29874063,,,,,,,0.57390995,0.09468403
