label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.20000000,0.02487979,0.22732631,0.02451730,0.22732793,66248.64827218,37500.00000000,28748.64827218,0.76663062,0.20584351,0.19791480,0.98345522,0.21374816,1.37183905,1.02343031,-0.20113095,324,2023,0.34360488,2022,-0.07938807,373691.43624708,123.99541088,1.19625317,0.00330654,,,0.48884935,0.14955055,0.16263318,0.04900583,,,0.34750563,0.04594996
VT TQQQ/BTAL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,0.25000000,0.03023854,0.28141404,0.02989718,0.28141554,72732.72855850,37500.00000000,35232.72855850,0.93953943,0.24077569,0.23155510,0.97859943,0.25363993,1.35515307,1.00188458,-0.24032278,141,2023,0.43033464,2022,-0.14489402,443261.81692013,146.83620500,1.32779382,0.00391563,,,0.43263341,0.14894300,0.14395636,0.04921932,,,0.42248123,0.06018182
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.20000000,0.02598027,0.22531419,0.02519318,0.22531648,68641.37684621,37500.00000000,31141.37684621,0.83043672,0.21794061,0.21065210,1.04078248,0.21102525,1.44294235,1.03698536,-0.21016749,163,2023,0.39986017,2022,-0.12783343,391487.36642350,88.40388024,1.22013343,0.00235744,0.24285719,0.07230055,0.24413422,0.07411958,0.16260617,0.04932344,,,0.34780241,0.04796141
VT TQQQ/BIL37.5+BTAL37.5+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL37.5+BTAL37.5+DBMF25,0.25000000,0.03093837,0.27874363,0.03017052,0.27874584,75131.21535892,37500.00000000,37631.21535892,1.00349908,0.25172622,0.24333520,1.00957016,0.25491034,1.39104761,0.97199896,-0.25897787,166,2023,0.48843481,2022,-0.18833550,462554.97141170,104.40290696,1.35228870,0.00278408,0.21511941,0.07246619,0.21597290,0.07399820,0.14382281,0.04902034,,,0.42289922,0.06285152
VT TQQQ/BIL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.20000000,0.02491514,0.22298554,0.02445809,0.22298626,70586.29147992,37500.00000000,33086.29147992,0.88230111,0.22715986,0.22072120,1.04054836,0.22026782,1.43027037,0.97483482,-0.23302395,169,2023,0.45526600,2022,-0.17691049,403474.37335842,50.41089626,1.22912241,0.00134429,0.48744365,0.14557979,,,0.16256657,0.04965727,,,0.34819895,0.05029164
VT TQQQ/BIL75+DBMF25 t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BIL75+DBMF25,0.25000000,0.03049539,0.27570468,0.02999780,0.27570538,77126.68168901,37500.00000000,39626.68168901,1.05671151,0.26025485,0.25288831,1.00788032,0.26462164,1.38038649,0.90224735,-0.28845178,605,2023,0.54640316,2022,-0.23183369,476505.01299871,59.56482856,1.36420067,0.00158840,0.43076507,0.14577158,,,0.14372572,0.04928741,,,0.42334045,0.06589199
TQQQ50/BTAL50 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.05850655,0.37517449,0.05838111,0.37517809,68406.38172327,37500.00000000,30906.38172327,0.82417018,0.22176896,0.20941858,0.83759832,0.28975550,1.16946953,0.58800358,-0.37715580,138,2023,0.48054807,2022,-0.27720877,152230.27494983,59.51207376,0.46190224,0.00158699,,,0.55766452,0.49887832,,,,,0.44174916,0.12482191
SPY benchmark,fit,fit,2019-05-08,2023-12-29,true,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,,,0.00676955,0.02233304,0.00677086,0.02233388,54024.61404681,37500.00000000,16524.61404681,0.44065637,0.12947835,0.12568830,0.67683690,0.21391828,0.94253127,0.38457602,-0.33667817,173,2021,0.28241522,2022,-0.18161772,37259.17984794,2.60814259,0.13190475,0.00006955,,,,,,,0.99322914,0.97766612,,
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.20000000,0.00447634,0.07099691,0.00423717,0.07100457,31714.35137320,25500.00000000,6214.35137320,0.24370005,0.13852708,0.12297735,0.74716240,0.20220058,1.01012419,0.78939846,-0.17548435,,2024,0.21239234,2026,0.01265976,211718.62535146,80.08346024,1.91989441,0.00314053,,,0.57045228,0.19929550,,,,,0.42787037,0.19454523
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,test,test,2024-01-02,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,0.25000000,0.00460166,0.08331162,0.00430205,0.08331956,34821.73133650,25500.00000000,9321.73133650,0.36555809,0.19305873,0.17843252,0.83897886,0.24885430,1.13721436,0.93527217,-0.20641984,,2024,0.26886734,2026,0.04940029,230503.69333142,86.54077265,1.97936988,0.00339376,,,0.47921133,0.19949551,,,,,0.51937708,0.24864340
