label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ:MOMM1-3-6-12U<=0 off0,0.00062294,0.00239473,0.00050379,0.00199754,54478.20350247,37500.00000000,16978.20350247,0.45275209,0.12416752,0.12861731,0.62883163,0.22749987,0.87421247,0.47752344,-0.26002392,366,2021,0.22019557,2022,-0.07993832,380221.56410116,144.38272496,1.42150518,0.00385021,0.68450787,0.19988332,,,,,0.31481713,0.00000000
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.03404293,0.29575538,0.03395183,0.29575908,58850.98400284,37500.00000000,21350.98400284,0.56935957,0.16468060,0.15578830,0.81591332,0.21549456,1.13715618,0.63302067,-0.26015044,366,2019,0.25979704,2022,-0.08311324,337867.76443003,128.70779190,1.16462106,0.00343221,0.66134591,0.19970055,,,,,0.33803225,0.04593051
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.02583567,0.22713285,0.02574668,0.22713641,61329.94813282,37500.00000000,23829.94813282,0.63546528,0.17780652,0.17040291,0.86883991,0.21520453,1.21247386,0.68343764,-0.26016495,366,2023,0.30268180,2022,-0.08383174,337937.21774212,128.28683922,1.14661248,0.00342098,0.65309941,0.19907534,,,,,0.34628391,0.04614148
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0 off0,0.00538879,0.26745855,0.00527533,0.26746294,59838.43161325,37500.00000000,22338.43161325,0.59569151,0.15351886,0.16167408,0.74085602,0.22809266,1.03459866,0.59040284,-0.26002392,366,2021,0.22019557,2022,0.03709596,362034.48026984,137.78465139,1.28204279,0.00367426,0.68929376,0.19988332,,,,,0.31004261,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,,0.00099376,0.00314094,0.00054623,0.00184310,66780.15143740,37500.00000000,29280.15143740,0.78080404,0.20678494,0.20077874,0.98547385,0.21419707,1.37880690,1.02889260,-0.20097816,324,2023,0.46459967,2022,-0.15313977,409192.96895090,134.50760241,1.31934016,0.00358687,0.47076456,0.14955055,0.15666286,0.04900583,,,0.37153969,0.09916690
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200,0.02487979,0.22732631,0.02451730,0.22732793,66248.64827218,37500.00000000,28748.64827218,0.76663062,0.20584351,0.19791480,0.98345522,0.21374816,1.37183905,1.02343031,-0.20113095,324,2023,0.34360488,2022,-0.07938807,373691.43624708,123.99541088,1.19625317,0.00330654,0.48884935,0.14955055,0.16263318,0.04900583,,,0.34750563,0.04594996
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ:MOMM1-3-6-12U<=0,0.02847344,0.27703976,0.02812000,0.27704323,59332.69359684,37500.00000000,21832.69359684,0.58220516,0.17162438,0.15867045,0.85544357,0.21149614,1.18612221,0.85327959,-0.20113499,324,2019,0.26608073,2022,-0.13549260,359174.32946742,119.86793736,1.20548848,0.00319648,0.49158060,0.14942904,0.16356155,0.04935799,,,0.34386933,0.06110379
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ:MOMM1-3-6-12U<=0 off0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ:MOMM1-3-6-12U<=0 off0,0.00095025,0.00318310,0.00055586,0.00156079,57095.13779194,37500.00000000,19595.13779194,0.52253701,0.14429098,0.14510184,0.72181863,0.22067630,0.99846942,0.71783921,-0.20100739,324,2021,0.26528507,2022,-0.07811695,400826.44297445,133.77557470,1.42356034,0.00356735,0.51337199,0.14970868,0.17082024,0.04913742,,,0.31481143,0.00000000
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=0,0.03460657,0.29626223,0.03425964,0.29626553,61852.44222291,37500.00000000,24352.44222291,0.64939846,0.18495213,0.17341621,0.90742232,0.21196688,1.25971263,0.91954228,-0.20113499,324,2019,0.26608073,2022,-0.07936605,357142.81653312,119.54715704,1.17022221,0.00318792,0.49617655,0.14942904,0.16508701,0.04935799,,,0.33773080,0.04597594
VT TQQQ/BTAL75+DBMF25 t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,fit,fit,2019-05-08,2023-12-29,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-net15,BTAL75+DBMF25,QQQ<SMA200|QQQ:MOMM1-3-6-12U<=m2,0.02658823,0.22732631,0.02621867,0.22732793,64804.80806173,37500.00000000,27304.80806173,0.72812821,0.19963131,0.19003136,0.96222515,0.21290697,1.33942626,0.99254397,-0.20113095,324,2023,0.31176399,2022,-0.07938807,358621.44932669,119.39408714,1.15504726,0.00318384,0.49010714,0.14955055,0.16302985,0.04900583,,,0.34581856,0.04594996
